Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
Parker Police Department,"4,409",0,1,0,0,7,1,52,0,0,61,,,
DABT - Bay,0,0,0,0,0,0,0,0,0,0,0,,,
Bay-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Panama City,0,0,0,0,0,0,0,0,0,0,0,,,

Bradford County,"27,310",0,0,0,0,26,0,92,8,1,127,,,

Bradford County Sheriffs Office,"21,157",0,0,0,0,20,0,87,8,1,116,,,
Starke Police Department,"5,442",0,0,0,0,6,0,4,0,0,10,,,
Lawtey Police Department,711,0,0,0,0,0,0,1,0,0,1,,,
Bradford DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Bradford,0,0,0,0,0,0,0,0,0,0,0,,,
Bradford-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Starke,0,0,0,0,0,0,0,0,0,0,0,,,

Brevard County,"561,714",6,3,56,25,681,10,"3,097",44,12,"3,934",,,

Brevard County Sheriffs Office,"228,080",0,3,24,1,208,6,891,18,5,"1,156",,,
Cocoa Police Department,"18,313",2,0,4,2,60,1,209,2,0,280,,,
Cocoa Beach Police Department,"11,182",0,0,0,0,9,0,89,0,0,98,,,
Indialantic Police Department,"2,787",0,0,0,0,2,0,8,0,0,10,,,
Indian Harbor Beach PD,"8,386",0,0,0,0,2,0,20,0,0,22,,,
Melbourne Police Department,"79,600",1,0,9,10,110,0,562,9,0,701,,,
Melbourne Beach Police Department,"3,078",0,0,0,0,0,0,2,0,0,2,,,
Rockledge Police Department,"26,165",0,0,1,0,41,0,136,0,0,178,,,
Satellite Beach Police Department,"10,403",0,0,0,0,0,0,0,0,0,0,,,
Titusville Police Department,"45,325",1,0,11,6,95,1,415,12,3,544,,,
Palm Bay Police Department,"107,481",2,0,7,6,144,2,724,3,4,892,,,
Melbourne Village Police Department,664,0,0,0,0,0,0,1,0,0,1,,,
West Melbourne Police Department,"20,250",0,0,0,0,9,0,39,0,0,48,,,
Melbourne Int Airport PD,0,0,0,0,0,0,0,0,0,0,0,,,
Brevard DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Brevard,0,0,0,0,0,0,0,0,0,0,0,,,
Brevard-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Melbourne,0,0,0,0,0,1,0,1,0,0,2,,,

Broward County,"1,827,367",15,0,75,38,"1,047",10,"4,529",77,29,"5,820",,,

Broward County Sheriffs Office,"14,539",1,0,5,1,25,1,74,1,0,108,,,
Dania Police Department,"30,644",0,0,4,1,17,0,77,0,0,99,,,
Deerfield Beach Police Department,"76,662",0,0,1,4,41,0,136,0,0,182,,,
Fort Lauderdale Police Department,"175,123",2,0,6,2,140,5,346,6,12,519,,,
Hallandale Police Department,"38,424",0,0,3,0,18,0,146,0,0,167,,,
Hollywood Police Department,"144,926",4,0,11,1,103,1,541,9,0,670,,,
Plantation Police Department,"87,496",0,0,1,0,44,1,127,1,1,175,,,
Pompano Beach Police Department,"106,260",2,0,9,2,106,0,250,1,2,372,,,
Pembroke Pines Police Department,"159,922",0,0,0,0,34,0,100,12,0,146,,,
Wilton Manors Police Department,"12,160",0,0,0,0,8,0,59,0,0,67,,,
Cooper City PD,"33,176",0,0,3,0,2,0,41,0,1,47,,,
Coconut Creek PD,"56,593",0,0,1,0,15,0,202,2,0,220,,,
Davie Police Department,"96,908",0,0,4,4,32,1,341,13,2,397,,,
Hillsboro Beach Police Department,"1,867",0,0,0,1,0,0,1,0,0,2,,,
Lauderdale-By-The-Sea PD,"6,056",0,0,0,0,5,0,8,1,0,14,,,
Lauderdale Lakes PD,"34,201",0,0,1,1,37,0,110,6,1,156,,,
Lauderhill PD,"69,651",1,0,5,1,90,0,427,2,0,526,,,
Lighthouse Point Police Department,"10,358",0,0,1,0,2,0,9,0,0,12,,,
Margate Police Department,"55,851",1,0,0,3,36,0,112,1,0,153,,,
Miramar Police Department,"132,096",0,0,4,4,68,0,204,3,0,283,,,
North Lauderdale Police Department,"43,232",0,0,1,3,46,0,105,0,0,155,,,
Oakland Park Police Department,"43,390",0,0,2,2,26,0,76,3,0,109,,,
Sea Ranch Lakes Police Department,670,0,0,0,0,0,0,1,0,0,1,,,
Sunrise Police Department,"88,630",1,0,2,1,41,0,290,6,0,341,,,
Coral Springs Police Department,"124,282",2,0,6,1,29,1,440,0,10,489,,,
Pembroke Park Police Department,"6,236",0,0,0,0,3,0,15,0,0,18,,,
Tamarac Police Department,"62,264",1,0,2,1,36,0,101,0,0,141,,,
Ft. Lauderdale Intl. Airport PD,0,0,0,0,0,0,0,2,0,0,2,,,
Parkland PD,"28,128",0,0,0,0,0,0,9,2,0,11,,,
Seminole Indian Reservation,0,0,0,0,0,5,0,76,2,0,83,,,
Town of Southwest Ranches,"7,389",0,0,0,0,3,0,12,1,0,16,,,
West Park Police Department,"14,499",0,0,3,2,22,0,60,3,0,90,,,
Broward DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Broward,0,0,0,0,0,0,0,0,0,0,0,,,
Broward-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Broward-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
Weston PD,"65,734",0,0,0,3,1,0,28,2,0,34,,,
FHP - Fort Lauderdale,0,0,0,0,0,11,0,0,0,0,11,,,
Port Everglades PD,0,0,0,0,0,1,0,3,0,0,4,,,

Calhoun County,"14,549",0,1,0,4,21,0,59,1,0,86,,,

Calhoun County Sheriffs Office,"11,513",0,1,0,4,16,0,39,1,0,61,,,
Altha Police Department,568,DNR,--,--,--,--,--,--,--,--,--,,,
Blountstown Police Department,"2,468",0,0,0,0,5,0,20,0,0,25,,,
Calhoun DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Calhoun,0,0,0,0,0,0,0,0,0,0,0,,,
Calhoun-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Calhoun Co,0,0,0,0,0,0,0,0,0,0,0,,,

Charlotte County,"167,141",0,0,1,3,86,0,515,5,0,610,,,

Charlotte County Sheriffs Office,"149,466",0,0,1,3,82,0,502,5,0,593,,,
Charlotte DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
Punta Gorda Police Department,"17,675",0,0,0,0,4,0,13,0,0,17,,,
DABT Charlotte,0,0,0,0,0,0,0,0,0,0,0,,,
Charlotte-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Charlotte Co,0,0,0,0,0,0,0,0,0,0,0,,,

Citrus County,"141,501",0,0,20,10,143,0,670,9,1,853,,,

Citrus County Sheriffs Office,"141,501",0,0,20,10,143,0,670,9,1,853,,,
Citrus DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Citrus,0,0,0,0,0,0,0,0,0,0,0,,,
Citrus-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Citrus Co,0,0,0,0,0,0,0,0,0,0,0,,,

Clay County,"201,277",2,0,27,16,84,0,803,0,3,935,,,

Clay County Sheriffs Office,"185,724",2,0,17,14,72,0,734,0,2,841,,,
Green Cove Springs PD,"7,043",0,0,4,2,9,0,37,0,1,53,,,
Orange Park Police Department,"8,510",0,0,6,0,3,0,32,0,0,41,,,
Clay DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Clay,0,0,0,0,0,0,0,0,0,0,0,,,
Clay-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Clay Co,0,0,0,0,0,0,0,0,0,0,0,,,

Collier County,"343,802",0,0,25,11,269,0,"1,198",33,0,"1,536",,,

Collier County Sheriffs Office,"307,547",0,0,25,9,258,0,"1,144",33,0,"1,469",,,
Naples Police Department,"19,527",0,0,0,2,4,0,29,0,0,35,,,
Marco Island Police Department,"16,728",0,0,0,0,4,0,25,0,0,29,,,
Collier DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Collier,0,0,0,0,0,0,0,0,0,0,0,,,
Collier-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Everglades City,0,0,0,0,0,3,0,0,0,0,3,,,

Columbia County,"68,163",4,0,1,1,97,0,306,16,0,425,,,

Columbia County Sheriffs Office,"56,163",2,0,1,1,62,0,155,5,0,226,,,
Lake City Police Department,"12,000",2,0,0,0,35,0,151,11,0,199,,,
Columbia DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Columbia,0,0,0,0,0,0,0,0,0,0,0,,,
Columbia-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Lake City,0,0,0,0,0,0,0,0,0,0,0,,,

Miami-Dade County,"2,653,934",18,0,291,179,"1,901",30,"5,969",414,26,"8,828",,,

Miami-Dade Police Department,"1,160,457",7,0,225,156,527,5,"1,378",188,7,"2,493",,,
Bal Harbour Village PD,"2,778",0,0,0,0,0,0,4,0,0,4,,,
Coral Gables Police Department,"49,397",0,0,0,0,4,0,24,0,0,28,,,
Florida City Police Department,"12,577",0,0,4,0,66,0,139,15,1,225,,,
Hialeah Police Department,"233,053",3,0,8,5,110,4,519,77,5,731,,,
Homestead Police Department,"69,533",0,0,10,3,90,1,226,0,0,330,,,
Miami Police Department,"439,509",5,0,1,0,671,12,"1,975",1,1,"2,666",,,
Miami Beach Police Department,"91,714",1,0,3,4,96,0,245,15,0,364,,,
Miami Shores Police Department,"10,806",0,0,0,0,4,0,29,0,0,33,,,
Miami Springs Police Department,"14,089",0,0,0,0,9,0,23,1,1,34,,,
North Miami Beach Police Department,"43,533",0,0,5,0,24,0,85,13,0,127,,,
Doral Police Department,"55,660",0,0,3,0,6,0,64,9,0,82,,,
Opa Locka Police Department,"17,528",0,0,0,0,40,0,56,13,0,109,,,
Surfside Police Department,"5,703",0,0,0,0,3,0,8,0,0,11,,,
Biscayne Park Police Department,"3,147",0,0,0,0,0,0,10,0,0,10,,,
El Portal Police Department,"2,334",0,0,0,0,2,0,8,0,0,10,,,
Hialeah Gardens Police Department,"23,004",1,0,0,0,7,0,32,3,0,43,,,
North Bay Village Police Department,"8,178",0,0,2,0,8,1,37,3,0,51,,,
North Miami Police Department,"62,380",1,0,10,1,63,0,256,32,1,364,,,
South Miami Police Department,"13,656",0,0,1,0,12,0,28,1,0,42,,,
Virginia Gardens Police Department,"2,416",0,0,0,0,0,0,5,0,0,5,,,
West Miami Police Department,"6,018",0,0,0,0,1,0,5,1,0,7,,,
Bay Harbor Islands PD,"5,552",0,0,0,0,1,0,2,0,0,3,,,
Golden Beach Police Department,928,0,0,0,0,0,0,0,0,0,0,,,
Indian Creek Village PD,86,0,0,0,0,0,0,0,0,0,0,,,
Medley Police Department,836,0,0,0,0,1,0,5,0,0,6,,,
Sweetwater Police Department,"20,793",0,0,0,0,29,0,87,0,0,116,,,
FDLE - Miami,0,0,0,0,0,0,0,0,0,0,0,,,
Florida International University PD,0,0,0,0,0,0,0,2,0,0,2,,,
Miami Dade Public Schools,0,0,0,0,0,1,0,3,0,0,4,,,
Miccosukee Public Safety Department,0,0,0,0,0,3,0,7,0,0,10,,,
Key Biscayne PD,"12,684",0,0,0,0,1,0,2,0,0,3,,,
Dade DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Dade,0,0,0,0,0,0,0,0,0,0,0,,,
Sunny Isles Beach Police Department,"21,592",0,0,0,0,11,0,44,0,0,55,,,
Cutler Bay Police Department,"44,109",0,0,9,5,8,0,49,12,1,84,,,
Dade-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Dade-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Miami,0,0,0,0,0,0,0,1,0,0,1,,,
Aventura Police Department,"37,473",0,0,0,0,5,0,37,0,0,42,,,
Village of Pinecrest PD,"18,408",0,0,0,0,3,0,10,3,0,16,,,
Miami Lakes Police Department,"30,209",0,0,2,0,3,0,30,1,0,36,,,
Palmetto Bay Police Department,"23,843",0,0,5,5,7,0,21,4,0,42,,,
Miami Gardens Police Department,"109,951",0,0,3,0,85,7,513,22,9,639,,,

DeSoto County,"34,777",0,0,1,0,37,0,234,0,0,272,,,

De Soto County Sheriffs Office,"27,167",0,0,1,0,27,0,172,0,0,200,,,
Arcadia Police Department,"7,610",0,0,0,0,10,0,62,0,0,72,,,
Desoto DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Desoto,0,0,0,0,0,0,0,0,0,0,0,,,
Desoto-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Arcadia,0,0,0,0,0,0,0,0,0,0,0,,,
Dixie County,"16,468",0,0,0,0,26,0,85,2,0,113,,,
Dixie County Sheriffs Office,"14,735",0,0,0,0,24,0,81,2,0,107,,,
Cross City Police Department,"1,733",0,0,0,0,2,0,4,0,0,6,,,
Dixie DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Dixie,0,0,0,0,0,0,0,0,0,0,0,,,
Dixie-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Cross City,0,0,0,0,0,0,0,0,0,0,0,,,
Duval County,"905,574",15,1,55,12,719,7,"5,981",100,24,"6,914",,,
Atlantic Beach Police Department,"13,012",0,0,0,0,7,1,41,0,0,49,,,
Jacksonville Sheriffs Office,"862,637",15,1,52,10,684,6,"5,727",96,24,"6,615",,,
Jacksonville Beach PD,"22,805",0,0,1,1,21,0,166,1,0,190,,,
Neptune Beach Police Department,"7,120",0,0,0,0,3,0,38,1,0,42,,,
FDLE - Jacksonville RA,0,0,0,2,1,0,0,0,0,0,3,,,
University of North Florida PD,0,0,0,0,0,0,0,2,0,0,2,,,
Jacksonville Aviation Authority PD,0,0,0,0,0,1,0,3,0,0,4,,,
Duval County School Board PD,0,0,0,0,0,2,0,4,2,0,8,,,
Duval DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Duval,0,0,0,0,0,0,0,0,0,0,0,,,
Duval-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Duval-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Jacksonville,0,0,0,0,0,1,0,0,0,0,1,,,

Escambia County,"306,944",5,0,52,31,430,0,"2,574",63,3,"3,158",,,

Escambia County Sheriffs Office,"253,886",5,0,44,30,351,0,"2,208",57,3,"2,698",,,
Pensacola Police Department,"53,058",0,0,8,1,78,0,364,6,0,457,,,
FDLE - Pensacola RA,0,0,0,0,0,0,0,0,0,0,0,,,
University of West Florida PD,0,0,0,0,0,0,0,2,0,0,2,,,
Escambia DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Escambia,0,0,0,0,0,0,0,0,0,0,0,,,
Escambia-Div. of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Escambia-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Pensacola,0,0,0,0,0,1,0,0,0,0,1,,,
Pensacola State College PD,0,0,0,0,0,0,0,0,0,0,0,,,

Flagler County,"101,413",1,0,11,10,94,0,474,22,5,617,,,

Flagler County Sheriffs Office,"93,975",1,0,10,10,83,0,441,20,0,565,,,
Bunnell Police Department,"2,875",0,0,1,0,10,0,16,0,0,27,,,
Flagler Beach Police Department,"4,563",0,0,0,0,1,0,17,2,5,25,,,
Flagler DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Flagler,0,0,0,0,0,0,0,0,0,0,0,,,
Flagler-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Flagler Co,0,0,0,0,0,0,0,0,0,0,0,,,

Franklin County,"11,840",1,0,2,0,5,0,51,3,0,62,,,

Franklin County Sheriffs Office,"6,773",1,0,2,0,5,0,35,0,0,43,,,
Apalachicola Police Department,"2,302",0,0,0,0,0,0,8,0,0,8,,,
Carrabelle Police Department,"2,765",0,0,0,0,0,0,8,3,0,11,,,
Franklin DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Franklin,0,0,0,0,0,0,0,0,0,0,0,,,
Franklin-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Apalachicola,0,0,0,0,0,0,0,0,0,0,0,,,

Gadsden County,"48,315",0,0,5,0,56,0,173,8,4,246,,,

Gadsden County Sheriffs Office,"30,626",0,0,3,0,15,0,30,6,0,54,,,
Quincy Public Safety Department,"7,853",0,0,1,0,32,0,118,2,0,153,,,
Chattahoochee Police Department,"3,135",0,0,1,0,0,0,19,0,0,20,,,
Havana Police Department,"1,767",0,0,0,0,2,0,0,0,0,2,,,
Gretna Police Department,"1,556",0,0,0,0,3,0,3,0,0,6,,,
Midway Police Department,"3,378",0,0,0,0,4,0,2,0,4,10,,,
Gadsden DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Gadsden,0,0,0,0,0,0,0,0,0,0,0,,,
Gadsden-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Quincy,0,0,0,0,0,0,0,1,0,0,1,,,

Gilchrist County,"16,839",0,0,0,0,4,0,2,0,0,6,,,

Gilchrist County Sheriffs Office,"14,772",DNR,--,--,--,--,--,--,--,--,--,,,
Trenton Police Department,"2,067",0,0,0,0,4,0,2,0,0,6,,,
Gilchrist DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Gilchrist,0,0,0,0,0,0,0,0,0,0,0,,,
Gilchrist-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Gilchrist Co,0,0,0,0,0,0,0,0,0,0,0,,,

Gladed County,"12,853",1,0,1,3,13,7,55,1,0,81,,,

Glades County Sheriffs Office,"12,853",1,0,1,3,13,7,55,1,0,81,,,
Glades DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Glades,0,0,0,0,0,0,0,0,0,0,0,,,
Glades-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Glades Co,0,0,0,0,0,0,0,0,0,0,0,,,

Gulf County,"16,346",1,0,1,0,20,0,49,0,0,71,,,

Gulf County Sheriffs Office,"12,821",1,0,1,0,20,0,39,0,0,61,,,
Port St. Joe Police Department,"3,525",0,0,0,0,0,0,10,0,0,10,,,
Gulf DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Gulf,0,0,0,0,0,0,0,0,0,0,0,,,
Gulf-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Gulf Co,0,0,0,0,0,0,0,0,0,0,0,,,

Hamilton County,"14,630",2,0,0,0,18,0,45,0,0,65,,,

Hamilton County Sheriffs Office,"9,913",2,0,0,0,3,0,24,0,0,29,,,
Jasper Police Department,"3,083",0,0,0,0,6,0,13,0,0,19,,,
Jennings Police Department,871,0,0,0,0,0,0,1,0,0,1,,,
White Springs Police Department,763,0,0,0,0,9,0,7,0,0,16,,,
Hamilton DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Hamilton,0,0,0,0,0,0,0,0,0,0,0,,,
Hamilton-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Hamilton Co,0,0,0,0,0,0,0,0,0,0,0,,,

Hardee County,"27,645",0,0,2,1,14,0,114,0,0,131,,,

Hardee County Sheriffs Office,"19,750",0,0,2,1,13,0,79,0,0,95,,,
Bowling Green Police Department,"2,894",0,0,0,0,0,0,24,0,0,24,,,
Wauchula Police Department,"5,001",0,0,0,0,1,0,11,0,0,12,,,
Hardee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Hardee,0,0,0,0,0,0,0,0,0,0,0,,,
Hardee-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Hardee Co,0,0,0,0,0,0,0,0,0,0,0,,,

Hendry County,"38,096",0,0,4,0,67,0,204,16,1,292,,,

Hendry County Sheriffs Office,"30,655",0,0,4,0,63,0,166,14,1,248,,,
Clewiston Police Department,"7,441",0,0,0,0,4,0,38,2,0,44,,,
Hendry DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Hendry,0,0,0,0,0,0,0,0,0,0,0,,,
Hendry-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Hendry Co,0,0,0,0,0,0,0,0,0,0,0,,,

Hernando County,"176,819",0,0,14,2,125,0,814,12,1,968,,,

Hernando County Sheriffs Office,"169,039",0,0,14,2,117,0,775,11,0,919,,,
Brooksville Police Department,"7,780",0,0,0,0,8,0,39,1,1,49,,,
Hernando DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Hernando,0,0,0,0,0,0,0,0,0,0,0,,,
Hernando-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Brooksville,0,0,0,0,0,0,0,0,0,0,0,,,

Highlands County,"100,748",1,0,3,3,63,1,577,15,0,663,,,

Highlands County Sheriffs Office,"87,557",1,0,2,3,63,1,483,14,0,567,,,
Lake Placid Police Department,"2,415",0,0,0,0,0,0,15,0,0,15,,,
Sebring Police Department,"10,776",0,0,1,0,0,0,79,1,0,81,,,
Highlands DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Highlands,0,0,0,0,0,0,0,0,0,0,0,,,
Highlands-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Lake Placid,0,0,0,0,0,0,0,0,0,0,0,,,

Hillsborough County,"1,325,563",17,0,41,15,776,1,"5,834",57,26,"6,767",,,

Hillsborough County Sheriffs Offc,"905,007",13,0,21,12,369,0,"3,245",41,13,"3,714",,,
Plant City Police Department,"36,710",1,0,1,1,26,1,185,0,1,216,,,
Tampa Police Department,"358,279",3,0,18,2,359,0,"2,312",15,11,"2,720",,,
Temple Terrace Police Department,"25,567",0,0,1,0,22,0,85,1,1,110,,,
FDLE - Tampa TBOC,0,0,0,0,0,0,0,0,0,0,0,,,
Tampa International Airport PD,0,0,0,0,0,0,0,6,0,0,6,,,
Univ. of South Florida PD - Tampa,0,0,0,0,0,0,0,0,0,0,0,,,
Hillsborough DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Hillsborough,0,0,0,0,0,0,0,0,0,0,0,,,
Hillsborough-Div of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Hillsborough-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Tampa,0,0,0,0,0,0,0,1,0,0,1,,,

Holmes County,"19,902",0,0,1,4,13,0,122,0,2,142,,,

Holmes County Sheriffs Office,"17,237",0,0,1,4,13,0,94,0,2,114,,,
Bonifay Police Department,"2,665",0,0,0,0,0,0,28,0,0,28,,,
Holmes DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Holmes,0,0,0,0,0,0,0,0,0,0,0,,,
Holmes-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Holmes Co,0,0,0,0,0,0,0,0,0,0,0,,,

Indian River County,"143,326",2,0,5,2,120,0,425,1,0,555,,,

Indian River County Sheriffs Offc,"95,231",2,0,2,0,82,0,252,1,0,339,,,
Fellsmere Police Department,"5,355",0,0,0,2,4,0,20,0,0,26,,,
Sebastian Police Department,"23,137",0,0,3,0,16,0,77,0,0,96,,,
Vero Beach Police Department,"15,608",0,0,0,0,18,0,75,0,0,93,,,
Indian River Shores PD,"3,995",0,0,0,0,0,0,1,0,0,1,,,
Indian River DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Indian River,0,0,0,0,0,0,0,0,0,0,0,,,
Indian River-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Indian River Co,0,0,0,0,0,0,0,0,0,0,0,,,

Jackson County,"50,458",1,0,1,4,63,2,144,17,0,232,,,

Jackson County Sheriffs Office,"37,728",0,0,1,0,43,2,105,16,0,167,,,
Marianna Police Department,"7,727",0,0,0,4,20,0,37,1,0,62,,,
Cottondale Police Department,907,DNR,--,--,--,--,--,--,--,--,--,,,
Graceville Police Department,"2,187",1,0,0,0,0,0,2,0,0,3,,,
Sneads Police Department,"1,909",DNR,--,--,--,--,--,--,--,--,--,,,
Jackson DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Jackson,0,0,0,0,0,0,0,0,0,0,0,,,
Jackson-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Marianna,0,0,0,0,0,0,0,0,0,0,0,,,

Jefferson County,"14,519",0,0,0,0,29,0,41,1,0,71,,,

Jefferson County Sheriffs Office,"12,061",0,0,0,0,25,0,41,1,0,67,,,
Monticello Police Department,"2,458",0,0,0,0,4,0,0,0,0,4,,,
Jefferson DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Jefferson,0,0,0,0,0,0,0,0,0,0,0,,,
Jefferson-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Jefferson Co,0,0,0,0,0,0,0,0,0,0,0,,,

Lafayette County,"8,664",0,0,1,0,4,0,7,3,0,15,,,

Lafayette County Sheriffs Office,"8,664",0,0,1,0,4,0,7,3,0,15,,,
Lafayette DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Lafayette,0,0,0,0,0,0,0,0,0,0,0,,,
