Username,Profile name,Bio,Profile picture,URL,Name,LastName,Location,Website,Following,Followers,Tweets,Verified,City,Country,Linkedin
@ArysArismendi,Arysbell Arismendi,Periodista venezolana residenciada en El Salvador. Escribo para @_elfaro_. Equipo @Vendata_org. RT no significa estar de acuerdo.,https://pbs.twimg.com/profile_images/985698386862014464/RAV7w1fZ_normal.jpg,https://twitter.com/ArysArismendi,Arysbell,Arismendi,"San Salvador, El Salvador",https://t.co/9lYUmNeHGH,1278,2527,12600,no,San Salvador,El Salvador,
@Bahareh360,Dr Bahareh Heravi,Information Scientist & Data Journalist | @UCD_iSchool Asst Professor | Formerly @Insight_Centre @IrishTimes | Founder @HacksHackersDub | Co-chair @datajconf,https://pbs.twimg.com/profile_images/995263911678095361/Fzz96BPJ_normal.jpg,https://twitter.com/Bahareh360,Dr Bahareh,Heravi,Dublin,https://t.co/9RQf5V2oia,2388,2288,5563,Cuenta verificada,Dublin,Ireland,
@baliborio,Bárbara Libório,"Investigative data journalist made in @M_Investigacion. Deputy editor at @CanalMeio and @aosfatos. Creator of @elasnacamara. Before: @RevistaISTOE, @ig, @folha.",https://pbs.twimg.com/profile_images/1001942281816084481/JEA_TC3Z_normal.jpg,https://twitter.com/baliborio,Bárbara,Libório,"São Paulo, Brasil",https://t.co/WoHRSdxRMM,1136,1380,529,no,Sao Paulo,Brasil,
@barbaramaseda,Barbara Maseda,Journalist. (Text) data enthusiast. Fellow @JSKStanford / Alum @BCUMedia #ddj #textdata #textmining PGP http://bit.ly/MyPGP_Key,https://pbs.twimg.com/profile_images/747047122311208960/yolrYEtO_normal.jpg,https://twitter.com/barbaramaseda,Barbara,Maseda,"Palo Alto, CA",https://t.co/85imqN9d6a,1451,1112,2067,no,Palo Alto,USA,
@bbbcccnnn,à,"#journalism, #data & bread. Freelance journalist @D15info @cuinacat @tromboinfo @LaVanguardia @elpaissemanal @beteve #ddj   http://senectute.net",https://pbs.twimg.com/profile_images/972087406760472578/p81ocPv7_normal.jpg,https://twitter.com/bbbcccnnn,à,,,https://t.co/p06sadmmEh,893,617,72900,no,,,
@bbelmontea,Be.,Periodista. Datos. bbelmontea@gmail.com,https://pbs.twimg.com/profile_images/896394091432423424/45rjmbCq_normal.jpg,https://twitter.com/bbelmontea,Be.,Be.,Madrid,undefined,127,33,34,no,Madrid,Spain,
@beaglvz,Beatriz Gálvez,Periodista/Journalist. Intrigada a la #ciencia. Aficionada a la #náutica. Fascinada por la gente y sus historias. Descubriendo #DATA con el máster @UNIR,https://pbs.twimg.com/profile_images/727607808615690240/07zWx90n_normal.jpg,https://twitter.com/beaglvz,Beatriz,Gálvez,Barcelona,https://t.co/XJcgUZUhzj,1980,748,1843,no,Barcelona,Spain,
@belenpicazo,Belén Picazo,"Entre dos explicaciones, elige la más clara. Entre dos formas, la más elemental. Diseño, periodismo de datos y visualización en @eldiarioes",https://pbs.twimg.com/profile_images/725316166076502017/ctorLV98_normal.jpg,https://twitter.com/belenpicazo,Belén,Picazo,Madrid,http://t.co/srxIfk2y33,1857,1662,2311,no,Madrid,Spain,
@C_AguilarGarcia,Carmen Aguilar,Periodista. Ahora en #DDJ /Journalist. Now immersing in #DDJ @BCUMedia,https://pbs.twimg.com/profile_images/989588955376037888/bOy3ja6W_normal.jpg,https://twitter.com/C_AguilarGarcia,Carmen,Aguilar,"Birmingham, England",https://t.co/PWEaLtVVfy,1318,744,1011,no,Birmingham,UK,
@cabralens,Mar Cabra,"Periodista de investigación & datos #ddj Amante #transparencia Miembro @ICIJorg Premios Pulitzer 2017, APM 2012+2016. Interesada en el cambio (estructural)",https://pbs.twimg.com/profile_images/991086035537973253/vgn6I1X9_normal.jpg,https://twitter.com/cabralens,Mar,Cabra,Madrid & beyond,https://t.co/4zMtUzH1Dl,2942,18600,5689,Cuenta verificada,Madrid,Spain,
@caelainnbarr,Caelainn Barr,Data projects editor at the @guardian,https://pbs.twimg.com/profile_images/985162155673743360/jC6ON7LN_normal.jpg,https://twitter.com/caelainnbarr,Caelainn,Barr,London,https://t.co/eePXZ0PXhF,1186,2284,1244,no,London,UK,
@carla_astudi,Carla Astudillo,"data wrangler, journalist/coder & graphics maker for @njdotcom & @starledger. Let me know of interesting New Jersey datasets, especially if they're OPRA-able.",https://pbs.twimg.com/profile_images/950587131348574208/S3DWGgYI_normal.jpg,https://twitter.com/carla_astudi,Carla,Astudillo,"Jersey City, NJ",https://t.co/2B9M9I3eRW,2493,2264,10300,Cuenta verificada,Jersey City,USA,
@Carlapedret,Carla Pedret,Data and multimedia journalist at @CatalunyaRadio. Former @324cat. Co-founder of @HacksHackersBcn. MA Online Journalism @bcumedia,https://pbs.twimg.com/profile_images/825077755427446784/GcXe5jbe_normal.jpg,https://twitter.com/Carlapedret,Carla,Pedret,Barcelona,https://t.co/psvP9mosmr,1053,1364,5270,no,Barcelona,Spain,
@CatherineDevin1,Catherine Devine,Journalist @Independent_ie | Reporter and Data Journalist @News21 | Email: cdevine@independent.ie,https://pbs.twimg.com/profile_images/989409086272868352/N5rucIkY_normal.jpg,https://twitter.com/CatherineDevin1,Catherine,Devine,"Dublin City, Ireland",https://t.co/f5UQr6exPj,681,666,583,Cuenta verificada,Dublin,Ireland,
@ccandidop,Cristina Cándido,"Periodismo & Datos  Redactora de Mercados en @elEconomistaEs, canterana de @hoyextremadura. Autora de 'Lobby por la transparencia' cristinacandido.es",https://pbs.twimg.com/profile_images/1936278066/cris_normal.jpg,https://twitter.com/ccandidop,Cristina,Cándido,,https://t.co/CnM3X87rIx,558,760,3827,no,,,
@ceciliadolago,Cecília do Lago,Repórter no @estadaodados  #jornalismodedados #ddj,https://pbs.twimg.com/profile_images/969414203302924289/4xtD_Zg3_normal.jpg,https://twitter.com/ceciliadolago,Cecília,do Lago,"Sao Paulo, Brazil",https://t.co/L4uuPhI1yZ,488,449,1197,Cuenta verificada,Sao Paulo,Brasil,
@cguibourg,Clara Guibourg,Senior data journalist @BBCNews. Formerly @GoogleNewsLab and #Interhacktives. Basically clueing. Clueing for looks.,https://pbs.twimg.com/profile_images/511855719927533570/XWVKO2Wd_normal.jpeg,https://twitter.com/cguibourg,Clara,Guibourg,London,undefined,710,1097,2975,Cuenta verificada,London,UK,
@ChElm,Christina Elmer,"Head of @SPIEGEL_Data and part of the editorial board @SPIEGELONLINE | Board member @nrecherche, German Association of Investigative Journalists",https://pbs.twimg.com/profile_images/905176396300988416/Vy1TaT6U_normal.jpg,https://twitter.com/ChElm,Christina,Elmer,Hamburg,https://t.co/mbAijzvfe5,1254,5317,5085,no,Hamburg,Germany,
@ChloeWhiteaker,Chloe Whiteaker,Visual journalist and data junkie @BBGVisualData @business. Tar Heel. In my free time I build things other than graphics & blog about it @lilhousebigcity,https://pbs.twimg.com/profile_images/796818585024864257/mg1gSmvz_normal.jpg,https://twitter.com/ChloeWhiteaker,Chloe,Whiteaker,Washington D.C.,https://t.co/3UemxXItgz,618,1352,2421,Cuenta verificada,Washington DC,USA,
@chrisjeavans,Christine Jeavans,"Senior data journalist @BBCNews, mum of 2, runner. Wrangling stats, making maps, charts & interactives @bbcnewsgraphics",https://pbs.twimg.com/profile_images/968940406913331201/iwOp5y1B_normal.jpg,https://twitter.com/chrisjeavans,Christine,Jeavans,London,https://t.co/vBzl7LNCCQ,1909,1225,6145,no,London,UK,
@clairemilleruk,Claire Miller,"Deputy head of data journalism at Reach, maths geek, feminist. Book - Getting Started with Data Journalism: https://leanpub.com/datajournalism/",https://pbs.twimg.com/profile_images/816226575276503040/qqISINiY_normal.jpg,https://twitter.com/clairemilleruk,Claire,Miller,Cardiff,https://t.co/YNNsmpocjH,1134,2781,13200,Cuenta verificada,Cardiff,UK,
@claudibaez,Claudia Báez,Co-founder @cuestion_p  I Investigative data journalist I ProPublica/ICFJ Fellow 2016 I @ElPoder_Elegir PGP: 197361,https://pbs.twimg.com/profile_images/905900501333663744/SaBLpS9W_normal.jpg,https://twitter.com/claudibaez,Claudia,Báez,,https://t.co/sZUeHVf0LQ,3300,1359,5983,no,,,
@clauocaranza,Claudia Ocaranza,Periodista. #Investigación & #ddj. La Messi de las preguntas. Máster en @M_Investigacion. México.,https://pbs.twimg.com/profile_images/740684796750368768/pWON8Cym_normal.jpg,https://twitter.com/clauocaranza,Claudia,Ocaranza,,undefined,1086,839,5419,no,,,
@colmanromi,Romina Colman,Periodista en @LNData.Lic.Cs.de la Comunicación (UBA). Fellow @OEA_oficial en Gobierno Abierto 2016. Profesora en @UCAPeriodismo. Co-founder de @GIGAbierto,https://pbs.twimg.com/profile_images/941066849260920833/HOkss3Qa_normal.jpg,https://twitter.com/colmanromi,Romina,Colman,Argentina,undefined,2596,3356,15900,no,Buenos Aires,Argentina,
@conchacatalan,Concha Catalan,Journalist+English teacher. Innovation and Human Rights @ihrworld #database #SCW #datajournalism. Seize the day. Also @opengovcat. Before @BTVdatalab,https://pbs.twimg.com/profile_images/344513261573444465/654c6908a57de366e89df8da60e533b9_normal.png,https://twitter.com/conchacatalan,Concha,Catalan,Europe,https://t.co/ajETETj0Z4,1777,1092,12 ,no,Barcelona,Spain,
@congosto,Mariluz Congosto,investigando desde la uc3m en la propagación de mensajes y la caracterización de usuarios en Twitter. Mis experimentos en http://t-hoarder.com,https://pbs.twimg.com/profile_images/728984748677341184/a42Pkbh3_normal.jpg,https://twitter.com/congosto,Mariluz,Congosto,Madrid,http://t.co/ELSb5fyD54,4880,8515,19400,no,Madrid,Spain,
@CrinaBoros,Crina Boros,#Investigative reporter |Data + FOI| @investigate_eu |@openDemocracy| Paul Foot Award finalist 2017 |DJA 2015| 9F51 D539 72BE AF58 C041 1B09 EF18 97AB AB1B 56F6,https://pbs.twimg.com/profile_images/862368253796122628/_H3-BwWS_normal.jpg,https://twitter.com/CrinaBoros,Crina,Boros,London,https://t.co/e6kteKC6LB,2588,1397,3658,no,London,UK,
@crisodisy,Cristina Ramon,"Periodista. Data, coding, economía, R, python, caos...",https://pbs.twimg.com/profile_images/378800000210104133/a3420c9a02402dde3d09a1e41f1688e5_normal.jpeg,https://twitter.com/crisodisy,Cristina,Ramon,Barcelona,http://t.co/Si8pLPEB7e,631,743,5716,no,Barcelona,Spain,
@cristinaags,Cristina Graell,"Periodista visual. Infografía, fotografía, columnismo y reporterismo. Sí a las nuevas aventuras.",https://pbs.twimg.com/profile_images/588633260386746368/eQwyUXbT_normal.jpg,https://twitter.com/cristinaags,Cristina,Graell,Barcelona,https://t.co/v6wNKYCe59,584,450,2335,no,Barcelona,Spain,
@CristinaSuarezv,Cristina Suárez,Periodista. Antes en @opiniondezamora. Aprendí en @M_Investigacion y ahora lo sigo haciendo en @elconfidencial. #ddj,https://pbs.twimg.com/profile_images/984086678469005312/XN-zvWB5_normal.jpg,https://twitter.com/CristinaSuarezv,Cristina,Suárez,Zamora-Madrid-(Londres),undefined,443,162,514,no,Zamora,Spain,
@danielaaguilard,Daniela Aguilar,Periodista. Interesada en Investigación y Datos gracias a @M_Investigacion. Con la mirada puesta en @lahistoriaec. Nodo de @connectasorg en Ecuador,https://pbs.twimg.com/profile_images/950773904515256320/zOckXqWm_normal.jpg,https://twitter.com/danielaaguilard,Daniela,Aguilar,Guayaquil,undefined,351,872,3162,no,Guayaquil,,
@danygm87,Daniela Guazo,Datajournalist at @Univ_Data #dataviz #data #journalist Buscando historias en los datos,https://pbs.twimg.com/profile_images/896933230095597574/Umk1g4I8_normal.jpg,https://twitter.com/danygm87,Daniela,Guazo,México Distrito Federal,undefined,1834,1115,8603,no,México Distrito Federal,Mexico,
@daten_drang,Kira Schacht,"Volontärin bei @rbbFernsehen, Datenzeugs bei @journocode",https://pbs.twimg.com/profile_images/888157955056689153/xDciveJc_normal.jpg,https://twitter.com/daten_drang,Kira,Schacht,"Berlin, Germany",https://t.co/dtFXeTaF2c,411,810,600,no,Berlin,Germany,
@datentaeterin,Marie-Louise Timcke,Head of Interactive Team @funkeinteraktiv http://morgenpost.de/interaktiv/  | CEO @journocode | writing my #ddj bachelor thesis @IJ_Online,https://pbs.twimg.com/profile_images/968641896020168706/nJUPNSoH_normal.jpg,https://twitter.com/datentaeterin,Marie-Louise,Timcke,"Berlin, Deutschland",https://t.co/HaG3boSvEi,420,2260,1662,no,Berlin,Germany,
@Deb_Aru,Debora Aru,Data journalist. Italian member of the Reach Data Unit. MA @cityjournalism.  debora.aru@reachplc.com Views are my own http://bit.ly/Debportfolio,https://pbs.twimg.com/profile_images/963090526760300544/6IW9GWz2_normal.jpg,https://twitter.com/Deb_Aru,Debora,Aru,"Cardiff, Wales",https://t.co/7lOm1aNDME,1703,830,757,Cuenta verificada,Cardiff,UK,
@dkxifara,Denise Xifara,"Co-founder of @nupinion, #TechForGood vs Information Asymmetry. #ddj VL @cityjournalism",https://pbs.twimg.com/profile_images/834177453149061120/uV6z0y5j_normal.jpg,https://twitter.com/dkxifara,Denise,Xifara,,https://t.co/dWx7gMliXA,243,235,546,no,,,
@elena_paredes90,Elena Paredes,"Periodista en @EPEconomia, con redes y datos. De Huelva y Badajoz, del Sur. Exalumna de @M_Investigacion.",https://pbs.twimg.com/profile_images/972155658618441728/aHc9c4QV_normal.jpg,https://twitter.com/elena_paredes90,Elena,Paredes,Entre Badajoz y Madrid,https://t.co/mhIMEaSTNd,1132,433,1598,no,Badajoz,Spain,
@ElenaBCastilla,Elena Blanco Castill,"Periodista.
Profesora de Periodismo",https://pbs.twimg.com/profile_images/1891956900/IMG_0046_-_copia_normal.JPG,https://twitter.com/ElenaBCastilla,Elena,Blanco,--,undefined,670,665,1677,no,,,
@elenabrizuela,Elena Brizuela,Owner multitasking en @epxus / Profe de Periodismo Digital y Periodismo de Datos en @cupeduar / Data Journalist,https://pbs.twimg.com/profile_images/637252187031248896/_o8LIgQu_normal.jpg,https://twitter.com/elenabrizuela,Elena,Brizuela,Córdoba,http://t.co/9zsLjk9tHe,1330,2885,4517,no,Córdoba,Spain,
@elenasevillano,Elena Sevillano,"Periodista. Journalist. Escribo en El País. Investigación, datos, transparencia. 
Temas y 'leaks': esevillano@elpais.es",https://pbs.twimg.com/profile_images/881856780992733184/wgWN-Aj5_normal.jpg,https://twitter.com/elenasevillano,Elena,Sevillano,Madrid / Barcelona,https://t.co/gjQkAbYXPy,1507,9936,9836,no,Madrid,Spain,
@eli_vivas,eli vivas,Periodista Co-founder @Storydatabcn | @HacksHackersBCN Aprendo con mis alumnos en @BlanquernaFCRI @datajournalism1 #ddj #opendata,,https://twitter.com/eli_vivas,eli,vivas,Earth,http://www.storydata.cat/,3145,2548,3117,no,Barcelona,Spain,
@elisabetta_tola,elisabetta tola,"Data, tech&science journalist @formicablu @ddjIT @Agenzia_Italia http://seedcontrol.eu/  - http://SEEDversity.org  onair @radio3scienza 
teaching @SissaSchool",https://pbs.twimg.com/profile_images/808665196101300224/xEuS74gr_normal.jpg,https://twitter.com/elisabetta_tola,elisabetta,tola,"Bologna, Emilia Romagna",https://t.co/QSUKSFlfRa,1141,3674,7470,no,Bologna,Italia,
@Emiliadelfino,Emilia Delfino,Periodista Diario PERFIL. Judiciales. Investigación. Miembro de @ICIJorg #InvestigaLavaJato. #ParadisePapers. Co-autora de El hombre del Camión y La Ejecución.,https://pbs.twimg.com/profile_images/941684041048354817/7WOTOMke_normal.jpg,https://twitter.com/Emiliadelfino,Emilia,Delfino,,undefined,668,13100,2487,no,,,
@emilymarieblake,Emily Blake,"Data journalist / Chartistic Director at @nextbigsound/@pandora. words in @billboard, @forbes. stray cat.
http://measured.pandora.com/",https://pbs.twimg.com/profile_images/842551274172121090/Ai7IPlep_normal.jpg,https://twitter.com/emilymarieblake,Emily,Blake,"New York, NY",undefined,1184,1799,797,Cuenta verificada,New York,USA,
@emmayoule,Emma Youle,Investigations journalist at Archant. Winner of the Private Eye Paul Foot Award 2017 and Weekly Reporter of the Year at Regional Press Awards. All views my own.,https://pbs.twimg.com/profile_images/869922328335056897/f0u7q4ps_normal.jpg,https://twitter.com/emmayoule,Emma,Youle,London,https://t.co/fMolVWVdoo,1768,2225,2367,no,London,UK,
@enguraysegul,Ayşegül Engür,Journalist,https://pbs.twimg.com/profile_images/690640721427193856/zSAcKMoJ_normal.jpg,https://twitter.com/enguraysegul,Ayşegül,Engür,İstanbul,undefined,636,237,236,no,İstanbul,Turkey,
@evabelmonte,Eva Belmonte,"Little periodista. Autora de El BOE nuestro de cada día y Españopoly. En @civio, perpetrando El Indultómetro, Quién Manda, Medicamentalia y más cosicas. Cowgirl",https://pbs.twimg.com/profile_images/562655925190668288/s1BO8XKe_normal.jpeg,https://twitter.com/evabelmonte,Eva,Belmonte,Madrid,http://t.co/pAsf7ZVQ8g,807,19200,22900,no,Madrid,Spain,
@EvaConstantaras,Eva Constantaras,"Nomadic data journalist | Investigative trainer w/ teams in Pakistan, Afghanistan, Kenya, Northern Triangle | Past @Internews @GoogleNews @FulbrightPrgrm",https://pbs.twimg.com/profile_images/700324223710011392/awpoH5tY_normal.jpg,https://twitter.com/EvaConstantaras,Eva,Constantaras,GLOBAL,https://t.co/m6EQAGNIVx,2193,2734,3970,no,,,
@fabiolatorres,Fabiola Torres,"@ICFJKnight Fellow, fundadora y editora de http://Ojo-publico.com  y embajadora de http://sembramedia.org  en el Perú.  fabiolatorresperu@gmail.com",https://pbs.twimg.com/profile_images/1005954891888537600/nqlCIjTe_normal.jpg,https://twitter.com/fabiolatorres,Fabiola,Torres,Perú,https://t.co/blMNBwsNod,3456,6479,12700,no,Lima,Peru,
@farnsa,amanda farnsworth,@bbcnews Head of Visual and Data Journalism @bbcnewsgraphics @camartstheatre trustee @westhamunited fan @peterhouse_cam Master's partner,https://pbs.twimg.com/profile_images/2797066847/04a580761693345bd5e86d300190774c_normal.jpeg,https://twitter.com/farnsa,amanda,farnsworth,"London,UK",undefined,2309,2347,9042,no,London,UK,
@fcoel,Flor Coelho,Proud @LNdata member. Open data fan. New Media research & trainer @LANACION. @ONA Intl. @jskstanford fellow 2018-2019 #emojidelmate #NeverStopLearning =),https://pbs.twimg.com/profile_images/481530886522146816/5q27In5E_normal.jpeg,https://twitter.com/fcoel,Flor,Coelho,"Buenos Aires, Argentina",https://t.co/DsmaJfTMVa,5742,11100,50400,Cuenta verificada,Buenos Aires,Argentina,
@florafosset,flora fosset,"responsible journalism, dataviz and design. http://fosset.co",https://pbs.twimg.com/profile_images/787955076384034816/IK5Fi1BF_normal.jpg,https://twitter.com/florafosset,Flora,Fosset,Madrid,http://fosset.co/,316,346,373,no,Madrid,Spain,
@gabymino,Gabriela Miño,"Diario La Nación, integrante del equipo de periodismo de datos en LN DATA",https://pbs.twimg.com/profile_images/907398155028848643/u7nP4Zbu_normal.jpg,https://twitter.com/gabymino,Gabriela,Miño,Argentina,undefined,929,2059,3995,no,Buenos Aires,Argentina,
@gianninasegnini,Giannina Segnini,"Director, Data Journalism Degree at Columbia Journalism School. U2 fan since 1983. PGP key https://goo.gl/33HGJF",https://pbs.twimg.com/profile_images/909430587148111872/2TSsJwT5_normal.jpg,https://twitter.com/gianninasegnini,Giannina,Segnini,"New York, NY",https://t.co/fGfgNBGp83,1161,8243,42,no,New York,USA,
@ginnamorelo,Ginna Morelo,"Un magistrado de la Corte pagó con libros una deuda que tenía con mi padre, sastre. Desde entonces leo para no estar sola y me hice periodista para asegurarme.",https://pbs.twimg.com/profile_images/876941559052283904/EBhTPVFV_normal.jpg,https://twitter.com/ginnamorelo,Ginna,Morelo,Caribe colombiano,https://t.co/Lhyvf3tqO6,1073,6172,12300,no,Caribe,Colombia,
@giseleando,Gisela 9i§e£ænðø,Construir otro mundo es cosa de tortugas y bicis,https://pbs.twimg.com/profile_images/915425049057914880/Z117Sk0m_normal.jpg,https://twitter.com/giseleando,Gisela,9i§e£ænðø,B612,undefined,2891,2730,"70,1 ",no,,,
@GSpitzerWong,Grace Spitzer-Wong,"BBC News Senior Data Journalist | Shared Data Unit - Local News Partnership. Cyclist, allotment digger and freelance photographer. Open DMs. Opinions my own.",https://pbs.twimg.com/profile_images/1017493760652054530/BNlRq7ba_normal.jpg,https://twitter.com/GSpitzerWong,Grace,Spitzer-Wong,"Birmingham, England",undefined,528,617,6870,no,Birmingham,UK,
@hannahdormido,Hannah Dormido,"Data visual journalist, for #Bloomberg in #HongKong. Full-time journo, part-time mermaid. #QGIS sorceress in training. Views are my own.",https://pbs.twimg.com/profile_images/958723379959181312/ANpwTJwu_normal.jpg,https://twitter.com/hannahdormido,Hannah,Dormido,Hong Kong,https://t.co/PjlETW6jt9,2058,1408,8724,Cuenta verificada,Hong Kong,China,
@HelenaBengtsson,Helena Bengtsson,"Editor, Data Journalism at SVT",https://pbs.twimg.com/profile_images/378800000301069470/9cd89825518f6765e6be0e08aae36c57_normal.jpeg,https://twitter.com/HelenaBengtsson,Helena,Bengtsson,Sweden,undefined,418,2458,403,no,Estocolm,Sweden,
@i_catrin,Katerina Stavroula,"Comm/PI Associate @UNHCRGreece | storyteller, journalist | #MigrantsFiles, #GenerationE, #ddj | Human Rights, International Politics | Views my own.",https://pbs.twimg.com/profile_images/532867235669217280/1xFEdZ6v_normal.jpeg,https://twitter.com/i_catrin,Katerina,Stavroula,Athens - Greece,https://t.co/upeV2NJtS2,925,695,687,no,Athens,Greece,
