"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","SIC_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000307775","NPDES","PRR053241","ICIS-NPDES NON-MAJOR","2085","PRIMARY","DISTILLED AND BLENDED LIQUORS"
"110000307784","TRIS","00731SRLKNAVENU","TRI REPORTER","2254","PRIMARY","KNIT UNDERWEAR AND NIGHTWEAR MILLS"
"110000307793","AIR","PR0000007212170024","AIR MINOR","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000307793","AIRS/AFS","7212170024","AIR MINOR","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000307800","ICIS","6680043","ENFORCEMENT/COMPLIANCE ACTIVITY","4941","SECONDARY","WATER SUPPLY"
"110000307800","AIR","PR0000007212300011","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000307800","AIRS/AFS","7212300011","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000307800","ICIS","6680044","ENFORCEMENT/COMPLIANCE ACTIVITY","4941","SECONDARY","WATER SUPPLY"
"110000307800","NPDES","PR0001660","ICIS-NPDES MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000307837","ICIS","40846","FORMAL ENFORCEMENT ACTION","2491","PRIMARY","WOOD PRESERVING"
"110000307837","ICIS","40846","ENFORCEMENT/COMPLIANCE ACTIVITY","2491","PRIMARY","WOOD PRESERVING"
"110000307846","NPDES","PRR053255","STORM WATER INDUSTRIAL","3625","PRIMARY","RELAYS AND INDUSTRIAL CONTROLS"
"110000307846","ICIS","42774","FORMAL ENFORCEMENT ACTION","3613","SECONDARY","SWITCHGEAR AND SWITCHBOARD APPARATUS"
"110000307846","NPDES","PRR053255","ICIS-NPDES NON-MAJOR","3625","PRIMARY","RELAYS AND INDUSTRIAL CONTROLS"
"110000307855","AIRS/AFS","7215300029","AIR MAJOR","3569","PRIMARY","GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
"110000307855","AIR","PR0000007215300029","AIR MAJOR","3569","PRIMARY","GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
"110000307873","NCDB","I02#19941020E2002 1","COMPLIANCE ACTIVITY","3088","PRIMARY","PLASTICS PLUMBING FIXTURES"
"110000307873","NCDB","I02#19941020E2002 1","COMPLIANCE ACTIVITY","3316","SECONDARY","COLD-ROLLED STEEL SHEET, STRIP, AND BARS"
"110000307873","TRIS","00961NSLRWCALLE","TRI REPORTER","3496","PRIMARY","MISCELLANEOUS FABRICATED WIRE PRODUCTS"
"110000498159","TRIS","00623CBRJWROAD3","TRI REPORTER","2491","PRIMARY","WOOD PRESERVING"
"110000557255","NPDES","PR0025721","ICIS-NPDES NON-MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000557424","ICIS","44511","FORMAL ENFORCEMENT ACTION","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000557424","NPDES","PR0020427","NPDES PRETREATMENT PROGRAM","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000557424","NPDES","PR0020427","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000557424","NPDES","PR0020427","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561062","ICIS","6683731","FORMAL ENFORCEMENT ACTION","4941","SECONDARY","WATER SUPPLY"
"110000561222","NPDES","PR0020745","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561222","NPDES","PR0020745","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561222","ICIS","2655242","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561259","NPDES","PR0022705","ICIS-NPDES NON-MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000561419","NPDES","PR0020460","NPDES PRETREATMENT PROGRAM","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561419","ICIS","2655226","ENFORCEMENT/COMPLIANCE ACTIVITY","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561419","NPDES","PR0020460","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561419","NPDES","PR0020460","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561419","ICIS","2655226","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561589","ICIS","2655249","ENFORCEMENT/COMPLIANCE ACTIVITY","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561589","NPDES","PR0020834","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561589","NPDES","PR0020834","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561589","ICIS","2655249","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561605","ICIS","40837","FORMAL ENFORCEMENT ACTION","4941","PRIMARY","WATER SUPPLY"
"110000561605","NPDES","PR0022438","ICIS-NPDES MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000561623","ICIS","2656051","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561623","ICIS","2656535","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561623","ICIS","2655254","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561623","ICIS","40698","FORMAL ENFORCEMENT ACTION","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561623","NPDES","PR0021679","NPDES PRETREATMENT PROGRAM","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561623","NPDES","PR0021679","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561623","NPDES","PR0021679","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000561678","ICIS","2656914","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000561696","ICIS","40701","FORMAL ENFORCEMENT ACTION","4941","PRIMARY","WATER SUPPLY"
"110000561696","NPDES","PR0023931","ICIS-NPDES MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000576038","NPDES","PR0025119","ICIS-NPDES NON-MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000577304","NPDES","PR0025399","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577304","NPDES","PR0025399","NPDES PRETREATMENT PROGRAM","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577304","NPDES","PR0025399","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577304","ICIS","44336","FORMAL ENFORCEMENT ACTION","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577368","ICIS","40586","FORMAL ENFORCEMENT ACTION","4941","PRIMARY","WATER SUPPLY"
"110000577368","NPDES","PR0022411","ICIS-NPDES MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000577545","ICIS","5869153","FORMAL ENFORCEMENT ACTION","8734","SECONDARY","TESTING LABORATORIES"
"110000577545","ICIS","5869153","ENFORCEMENT/COMPLIANCE ACTIVITY","8734","SECONDARY","TESTING LABORATORIES"
"110000577652","NPDES","PR0025747","ICIS-NPDES NON-MAJOR","4941","PRIMARY","WATER SUPPLY"
"110000577812","NPDES","PR0025879","ICIS-NPDES MAJOR","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","2656050","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","2656050","ENFORCEMENT/COMPLIANCE ACTIVITY","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000577812","NPDES","PR0025879","POTW","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","44233","FORMAL ENFORCEMENT ACTION","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","2660121","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","42097","FORMAL ENFORCEMENT ACTION","4952","PRIMARY","SEWERAGE SYSTEMS"
"110000577812","ICIS","2656536","FORMAL ENFORCEMENT ACTION","4952","SECONDARY","SEWERAGE SYSTEMS"
"110000580363","AIR","PR0000007200500040","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580363","TRIS","00605BRNQNPR467","TRI REPORTER","2026","PRIMARY","FLUID MILK"
"110000580363","ICIS","600007571","ENFORCEMENT/COMPLIANCE ACTIVITY","5541","PRIMARY","GASOLINE SERVICE STATIONS"
"110000580363","AIRS/AFS","7200500040","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580363","ICIS","600007571","FORMAL ENFORCEMENT ACTION","5541","PRIMARY","GASOLINE SERVICE STATIONS"
"110000580363","TRIS","00605BRNQNPR467","TRI REPORTER","2037","SECONDARY","FROZEN FRUITS, FRUIT JUICES, AND VEGETABLES"
"110000580363","ICIS","600035789","ENFORCEMENT/COMPLIANCE ACTIVITY","2021","SECONDARY","CREAMERY BUTTER"
"110000580390","AIR","PR0000007201300082","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580390","ICIS","46183","FORMAL ENFORCEMENT ACTION","3585","PRIMARY","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT"
"110000580390","AIRS/AFS","7201300082","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580443","NCDB","I02#2000081716786 2","COMPLIANCE ACTIVITY","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580443","ICIS","32104","ENFORCEMENT/COMPLIANCE ACTIVITY","2834","SECONDARY","PHARMACEUTICAL PREPARATIONS"
"110000580443","AIRS/AFS","7201700007","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580443","AIR","PR0000007201700007","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580443","ICIS","32104","FORMAL ENFORCEMENT ACTION","2834","SECONDARY","PHARMACEUTICAL PREPARATIONS"
"110000580443","NCDB","I02#199411175424  1","COMPLIANCE ACTIVITY","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580470","NCDB","I02#19921201EP002 1","COMPLIANCE ACTIVITY","3411","PRIMARY","METAL CANS"
"110000580489","ICIS","40506","FORMAL ENFORCEMENT ACTION","2821","SECONDARY","PLASTICS MATERIALS, SYNTHETIC RESINS, AND NONVULCANIZABLE ELASTOMERS"
"110000580489","TRIS","00624NNCRBRD127","TRI REPORTER","5169","PRIMARY","CHEMICALS AND ALLIED PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000580489","ICIS","40506","FORMAL ENFORCEMENT ACTION","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000580489","ICIS","40506","FORMAL ENFORCEMENT ACTION","2865","SECONDARY","CYCLIC ORGANIC CRUDES AND INTERMEDIATES, AND ORGANIC DYES AND PIGMENTS"
"110000580489","NPDES","PR0000418","ICIS-NPDES MAJOR","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000580559","NPDES","PRR053068","STORM WATER INDUSTRIAL","2087","PRIMARY","FLAVORING EXTRACTS AND FLAVORING SYRUPS, NOT ELSEWHERE CLASSIFIED"
"110000580559","NPDES","PRR053068","ICIS-NPDES NON-MAJOR","2087","PRIMARY","FLAVORING EXTRACTS AND FLAVORING SYRUPS, NOT ELSEWHERE CLASSIFIED"
"110000580577","ICIS","40034","FORMAL ENFORCEMENT ACTION","2833","PRIMARY","MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS"
"110000580577","AIRS/AFS","7205700011","AIR MINOR","2833","PRIMARY","MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS"
"110000580577","AIR","PR0000007205700011","AIR MINOR","2833","PRIMARY","MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS"
"110000580577","NPDES","PRR053027","STORM WATER INDUSTRIAL","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580577","NPDES","PRR053027","ICIS-NPDES NON-MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580586","TRIS","00656VSSLLBARRI","TRI REPORTER","2851","PRIMARY","PAINTS, VARNISHES, LACQUERS, ENAMELS, AND ALLIED PRODUCTS"
"110000580595","NCDB","I02#2000080914684 3","COMPLIANCE ACTIVITY","2842","PRIMARY","SPECIALTY CLEANING, POLISHING, AND SANITATION PREPARATIONS"
"110000580595","ICIS","19162","FORMAL ENFORCEMENT ACTION","2841","PRIMARY","SOAP AND OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS"
"110000580595","SSTS","038718PR001","PESTICIDE PRODUCER","5999","UNKNOWN","MISCELLANEOUS RETAIL STORES, NOT ELSEWHERE CLASSIFIED"
"110000580595","SSTS","038718PR001","PESTICIDE PRODUCER","5231","UNKNOWN","PAINT, GLASS, AND WALLPAPER STORES"
"110000580595","SSTS","038718PR001","PESTICIDE PRODUCER","2891","UNKNOWN","ADHESIVES AND SEALANTS"
"110000580595","SSTS","038718PR001","PESTICIDE PRODUCER","2851","UNKNOWN","PAINTS, VARNISHES, LACQUERS, ENAMELS, AND ALLIED PRODUCTS"
"110000580602","AIRS/AFS","7206300026","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580602","TRIS","00658JHNSN933RO","TRI REPORTER","3842","SECONDARY","ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES"
"110000580602","AIR","PR0000007206300026","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580602","TRIS","00658JHNSN933RO","TRI REPORTER","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580639","ICIS","40864","FORMAL ENFORCEMENT ACTION","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580648","AIRS/AFS","7207300007","AIR MINOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580648","NPDES","PRR053208","STORM WATER INDUSTRIAL","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580648","NPDES","PRR053208","ICIS-NPDES NON-MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580648","AIR","PR0000007207300007","AIR MINOR","3841","SECONDARY","SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS"
"110000580648","AIR","PR0000007207300007","AIR MINOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580648","AIRS/AFS","7207300007","AIR MINOR","3841","SECONDARY","SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS"
"110000580657","NPDES","PRR053183","ICIS-NPDES NON-MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580657","ICIS","2656676","FORMAL ENFORCEMENT ACTION","2834","SECONDARY","PHARMACEUTICAL PREPARATIONS"
"110000580657","NPDES","PRR053183","STORM WATER INDUSTRIAL","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580657","NPDES","PRU080300","ICIS-NPDES UNPERMITTED","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580657","AIRS/AFS","7208500024","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580657","AIR","PR0000007208500024","AIR MAJOR","2834","PRIMARY","PHARMACEUTICAL PREPARATIONS"
"110000580675","AIR","PR0000007209700008","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580675","AIRS/AFS","7209700008","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580719","AIR","PR0000007214500007","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580719","AIRS/AFS","7214500007","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580764","AIRS/AFS","7210900016","AIR MINOR","3625","PRIMARY","RELAYS AND INDUSTRIAL CONTROLS"
"110000580764","AIR","PR0000007210900016","AIR MINOR","3625","PRIMARY","RELAYS AND INDUSTRIAL CONTROLS"
"110000580791","TRIS","00721CRBGNRD191","TRI REPORTER","3629","PRIMARY","ELECTRICAL INDUSTRIAL APPARATUS, NOT ELSEWHERE CLASSIFIED"
"110000580808","TRIS","00731CHLNPELTUQ","TRI REPORTER","3714","PRIMARY","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000580817","ICIS","43084","FORMAL ENFORCEMENT ACTION","3699","PRIMARY","ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES, NOT ELSEWHERE CLASSIFIED"
"110000580826","AIRS/AFS","7211500002","AIR MINOR","2253","PRIMARY","KNIT OUTERWEAR MILLS"
"110000580826","NPDES","PRU080003","ICIS-NPDES UNPERMITTED","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580826","AIR","PR0000007211500002","AIR MINOR","2253","PRIMARY","KNIT OUTERWEAR MILLS"
"110000580826","TRIS","00742GLMRTSTATE","TRI REPORTER","2253","PRIMARY","KNIT OUTERWEAR MILLS"
"110000580853","NCDB","I02#1999092814684 1","COMPLIANCE ACTIVITY","3914","PRIMARY","SILVERWARE, PLATED WARE, AND STAINLESS STEEL WARE"
"110000580880","TRIS","00759NTRRPRD854","TRI REPORTER","3612","SECONDARY","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMERS"
"110000580880","TRIS","00759NTRRPRD854","TRI REPORTER","3471","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING"
"110000580880","NCDB","I02#199708120002  1","COMPLIANCE ACTIVITY","3613","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS"
"110000580915","AIR","PR0000007215100004","AIR MAJOR","5171","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580915","AIRS/AFS","7215100004","AIR MAJOR","5171","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580915","NCDB","I02#199312071173  1","COMPLIANCE ACTIVITY","2911","PRIMARY","PETROLEUM REFINING"
"110000580915","NPDES","PR0000400","ICIS-NPDES MAJOR","2911","PRIMARY","PETROLEUM REFINING"
"110000580924","AIRS/AFS","7207700025","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580924","AIR","PR0000007207700025","AIR MINOR","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000580933","AIRS/AFS","7205700005","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580933","AIR","PR0000007205700005","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000580979","NCDB","I02#199804280002  1","COMPLIANCE ACTIVITY","3442","PRIMARY","METAL DOORS, SASH, FRAMES, MOLDING, AND TRIM"
"110000580979","TRIS","00918TRPCRFEDER","TRI REPORTER","3471","SECONDARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING"
"110000580979","TRIS","00918TRPCRFEDER","TRI REPORTER","3499","SECONDARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000580979","TRIS","00918TRPCRFEDER","TRI REPORTER","3355","PRIMARY","ALUMINUM ROLLING AND DRAWING, NOT ELSEWHERE CLASSIFIED"
"110000580988","NCDB","I02#2000081716786 1","COMPLIANCE ACTIVITY","5171","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580988","TRIS","00926SHLLCRD28P","TRI REPORTER","5171","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580988","NPDES","PR0025437","ICIS-NPDES MAJOR","5171","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580997","NCDB","I02#19890424A2001 1","COMPLIANCE ACTIVITY","2873","SECONDARY","NITROGENOUS FERTILIZERS"
"110000581004","AIR","PR0000007205100007","AIR MAJOR","3241","PRIMARY","CEMENT, HYDRAULIC"
"110000581004","NPDES","PRR053099","STORM WATER INDUSTRIAL","1422","PRIMARY","CRUSHED AND BROKEN LIMESTONE"
"110000581004","NPDES","PR0001163","ICIS-NPDES MAJOR","3241","PRIMARY","CEMENT, HYDRAULIC"
"110000581004","AIRS/AFS","7205100007","AIR MAJOR","3241","PRIMARY","CEMENT, HYDRAULIC"
"110000581004","NPDES","PRR053099","ICIS-NPDES NON-MAJOR","1422","PRIMARY","CRUSHED AND BROKEN LIMESTONE"
"110000581004","NCDB","I02#1995060610901 1","COMPLIANCE ACTIVITY","3241","PRIMARY","CEMENT, HYDRAULIC"
"110000581004","NCDB","I02#199804070001  1","COMPLIANCE ACTIVITY","3421","PRIMARY","CUTLERY"
"110000581022","NCDB","I02#19871110PR001 1","COMPLIANCE ACTIVITY","3089","PRIMARY","PLASTICS PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000581068","ICIS","44289","FORMAL ENFORCEMENT ACTION","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000581068","TRIS","00970JSCHMRD169","TRI REPORTER","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000602571","AIRS/AFS","7201300081","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000602571","ICIS","8029631","ENFORCEMENT/COMPLIANCE ACTIVITY","4911","SECONDARY","ELECTRIC SERVICES"
"110000602571","AIR","PR0000007201300081","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000602740","ICIS","2655308","ENFORCEMENT/COMPLIANCE ACTIVITY","2911","SECONDARY","PETROLEUM REFINING"
"110000602740","NCDB","I02#199312081173  1","COMPLIANCE ACTIVITY","2911","PRIMARY","PETROLEUM REFINING"
"110000602740","NPDES","PRR10BR63","ICIS-NPDES MINOR","1541","PRIMARY","GENERAL CONTRACTORS-INDUSTRIAL BUILDINGS AND WAREHOUSES"
"110000602740","NPDES","PRR10BR63","STORM WATER CONSTRUCTION","1541","PRIMARY","GENERAL CONTRACTORS-INDUSTRIAL BUILDINGS AND WAREHOUSES"
"110000602740","AIR","PR0000007205700004","AIR MAJOR","2911","PRIMARY","PETROLEUM REFINING"
"110000602740","ICIS","40801","FORMAL ENFORCEMENT ACTION","2911","PRIMARY","PETROLEUM REFINING"
"110000602740","NPDES","PR0000850","ICIS-NPDES MAJOR","2911","PRIMARY","PETROLEUM REFINING"
"110000602740","ICIS","2655308","FORMAL ENFORCEMENT ACTION","2911","SECONDARY","PETROLEUM REFINING"
"110000602740","AIRS/AFS","7205700004","AIR MAJOR","2911","PRIMARY","PETROLEUM REFINING"
"110000602740","NCDB","I02#199103201980  1","COMPLIANCE ACTIVITY","2911","PRIMARY","PETROLEUM REFINING"
"110000602768","TRIS","00665PRDCTKM667","TRI REPORTER","3672","PRIMARY","PRINTED CIRCUIT BOARDS"
"110000607941","NCDB","I02#199312215036  1","COMPLIANCE ACTIVITY","2842","SECONDARY","SPECIALTY CLEANING, POLISHING, AND SANITATION PREPARATIONS"
"110000607941","ICIS","19666","FORMAL ENFORCEMENT ACTION","2842","PRIMARY","SPECIALTY CLEANING, POLISHING, AND SANITATION PREPARATIONS"
"110000607941","TRIS","00619BSSTCESTBL","TRI REPORTER","2841","PRIMARY","SOAP AND OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS"
"110000607941","ICIS","19666","FORMAL ENFORCEMENT ACTION","2899","SECONDARY","CHEMICALS AND CHEMICAL PREPARATIONS, NOT ELSEWHERE CLASSIFIED"
"110000607941","TRIS","00619BSSTCESTBL","TRI REPORTER","2899","SECONDARY","CHEMICALS AND CHEMICAL PREPARATIONS, NOT ELSEWHERE CLASSIFIED"
"110000607941","NPDES","PRU080081","ICIS-NPDES UNPERMITTED","9999","PRIMARY","NONCLASSIFIABLE ESTABLISHMENTS"
"110000607941","NCDB","I02#199312215036  1","COMPLIANCE ACTIVITY","2899","PRIMARY","CHEMICALS AND CHEMICAL PREPARATIONS, NOT ELSEWHERE CLASSIFIED"
"110000607941","ICIS","33194","FORMAL ENFORCEMENT ACTION","2899","PRIMARY","CHEMICALS AND CHEMICAL PREPARATIONS, NOT ELSEWHERE CLASSIFIED"
"110000607950","NCDB","I02#1999092315455 1","COMPLIANCE ACTIVITY","4911","PRIMARY","ELECTRIC SERVICES"
"110000607950","AIRS/AFS","7213700006","AIR MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000607950","NPDES","PR0001031","ICIS-NPDES MAJOR","4911","PRIMARY","ELECTRIC SERVICES"
