"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000307855","RCRAINFO","PRR000024596","CESQG","61131","PRIMARY","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
"110000307873","TRIS","00961NSLRWCALLE","TRI REPORTER","332618","PRIMARY","OTHER FABRICATED WIRE PRODUCT MANUFACTURING."
"110000491833","TRIS","00738PLLPRRD19A","TRI REPORTER","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000491833","RCRAINFO","PRD981139611","LQG","333999","PRIMARY","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING."
"110000498159","TRIS","00623CBRJWROAD3","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000557004","RMP","100000119588","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000557004","RMP","100000119588","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000557184","RMP","100000120102","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000557193","RMP","100000120148","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000557200","RMP","100000120184","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000557255","RMP","100000120291","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000557424","RMP","100000121441","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000557424","RCRAINFO","PRD000689406","UNSPECIFIED UNIVERSE","22132","PRIMARY","SEWAGE TREATMENT FACILITIES"
"110000557497","RMP","100000121646","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000557549","RMP","100000121815","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561062","RMP","100000123332","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561062","RMP","100000123332","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561222","RMP","100000123822","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561259","RMP","100000123948","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561419","RMP","100000124493","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561419","RCRAINFO","PRD000689471","UNSPECIFIED UNIVERSE","22132","PRIMARY","SEWAGE TREATMENT FACILITIES"
"110000561464","RMP","100000124698","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561589","RMP","100000125189","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561605","RMP","100000125214","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561623","RMP","100000125303","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561641","RMP","100000125358","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561678","RMP","100000125474","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561678","RCRAINFO","PRD000691477","UNSPECIFIED UNIVERSE","22132","PRIMARY","SEWAGE TREATMENT FACILITIES"
"110000561696","RMP","100000125526","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561696","RMP","100000125526","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000561847","RMP","100000126008","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561963","RMP","100000126393","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561981","RMP","100000126516","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000561981","RMP","100000126516","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000568804","RMP","100000161503","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000576038","RMP","100000099831","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577224","RMP","100000119668","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577224","RMP","100000119668","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577233","RMP","100000119702","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577233","RMP","100000119702","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577304","RMP","100000120549","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577359","RMP","100000121726","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577368","RMP","100000121753","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577484","RMP","100000123289","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577484","RMP","100000123289","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577545","RMP","100000123779","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577652","RMP","100000125438","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577670","RMP","100000125713","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577689","RMP","100000125839","RMP REPORTER","22131","UNKNOWN","WATER SUPPLY AND IRRIGATION SYSTEMS"
"110000577812","RMP","100000128346","RMP REPORTER","22132","UNKNOWN","SEWAGE TREATMENT FACILITIES"
"110000577812","RCRAINFO","PRD000689679","UNSPECIFIED UNIVERSE","22132","PRIMARY","SEWAGE TREATMENT FACILITIES"
"110000580390","RCRAINFO","PRD090497959","LQG","333415","PRIMARY","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING."
"110000580390","TRIS","00612THRMKZENOG","TRI REPORTER","333415","PRIMARY","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING."
"110000580390","E-GGRT","1010710","GREENHOUSE GAS REPORTER","333415","PRIMARY","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING."
"110000580390","TRIS","00612THRMKZENOG","TRI REPORTER","336391","PRIMARY","MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING."
"110000580407","RCRAINFO","PRD090383860","LQG","332999","SECONDARY","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING."
"110000580407","RCRAINFO","PRD090383860","LQG","335313","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING."
"110000580407","TRIS","00613CRBGPZENOG","TRI REPORTER","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000580407","RCRAINFO","PRD090383860","LQG","332813","SECONDARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000580443","AIR","PR0000007201700007","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580443","RCRAINFO","PRD090398074","LQG","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580443","TRIS","00617THPJHHIGHW","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580443","AIRS/AFS","7201700007","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580443","EIS","6982611","HAZARDOUS AIR POLLUTANT MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580443","RMP","100000148431","RMP REPORTER","32541","UNKNOWN","PHARMACEUTICAL AND MEDICINE MANUFACTURING"
"110000580470","TRIS","00621SLNDCLUCHE","TRI REPORTER","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000580470","EIS","7114511","HAZARDOUS AIR POLLUTANT MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000580489","RCRAINFO","PRD980594618","TSD","562211","PRIMARY","HAZARDOUS WASTE TREATMENT AND DISPOSAL."
"110000580489","RMP","100000120638","RMP REPORTER","49311","UNKNOWN","GENERAL WAREHOUSING AND STORAGE"
"110000580489","RCRAINFO","PRD980594618","LQG","562211","PRIMARY","HAZARDOUS WASTE TREATMENT AND DISPOSAL."
"110000580489","TRIS","00624NNCRBRD127","TRI REPORTER","424690","PRIMARY","OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS."
"110000580522","TRIS","00630WDTRT65INF","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000580559","TRIS","00639CRBBNSTATE","TRI REPORTER","311930","PRIMARY","FLAVORING SYRUP AND CONCENTRATE MANUFACTURING."
"110000580559","EIS","16796311","AIR EMISSIONS CLASSIFICATION UNKNOWN","312111","PRIMARY","SOFT DRINK MANUFACTURING."
"110000580559","RCRAINFO","PRD090235573","LQG","31193","PRIMARY","FLAVORING SYRUP AND CONCENTRATE MANUFACTURING"
"110000580577","AIRS/AFS","7205700011","AIR MINOR","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000580577","EIS","7128611","AIR EMISSIONS CLASSIFICATION UNKNOWN","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580577","RCRAINFO","PRD000692525","LQG","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580577","TRIS","00654NQSTNROAD3","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580577","RMP","100000102015","RMP REPORTER","32541","UNKNOWN","PHARMACEUTICAL AND MEDICINE MANUFACTURING"
"110000580577","AIR","PR0000007205700011","AIR MINOR","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000580586","TRIS","00656VSSLLBARRI","TRI REPORTER","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000580595","EIS","8959411","AIR EMISSIONS CLASSIFICATION UNKNOWN","325611","PRIMARY","SOAP AND OTHER DETERGENT MANUFACTURING."
"110000580595","TRIS","00657FRTCHPARQU","TRI REPORTER","325611","PRIMARY","SOAP AND OTHER DETERGENT MANUFACTURING."
"110000580602","RCRAINFO","PRD090451824","UNSPECIFIED UNIVERSE","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000580602","TRIS","00658JHNSN933RO","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580602","AIRS/AFS","7206300026","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580602","AIR","PR0000007206300026","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580620","RCRAINFO","PRD090578014","UNSPECIFIED UNIVERSE","325191","PRIMARY","GUM AND WOOD CHEMICAL MANUFACTURING."
"110000580620","TRIS","00661PCRPRHUMAC","TRI REPORTER","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000580620","RMP","100000158679","RMP REPORTER","32541","UNKNOWN","PHARMACEUTICAL AND MEDICINE MANUFACTURING"
"110000580620","RCRAINFO","PRD090578014","UNSPECIFIED UNIVERSE","325412","SECONDARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580620","TRIS","00661PCRPRHUMAC","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580639","TRIS","00661SYNTXROAD9","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580639","RCRAINFO","PRD090493917","LQG","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580648","EIS","7129911","AIR EMISSIONS CLASSIFICATION UNKNOWN","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580648","AIRS/AFS","7207300007","AIR MINOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580648","AIR","PR0000007207300007","AIR MINOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580648","TRIS","00664BXTRHSTROA","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580648","RCRAINFO","PRD000768283","CESQG","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000580657","EIS","8951411","AIR EMISSIONS CLASSIFICATION UNKNOWN","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580657","TRIS","00671JHNSNRD183","TRI REPORTER","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580657","RCRAINFO","PRD000831610","UNSPECIFIED UNIVERSE","339113","PRIMARY","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING."
"110000580657","AIR","PR0000007208500024","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580657","RCRAINFO","PRD000831610","UNSPECIFIED UNIVERSE","339115","SECONDARY","OPHTHALMIC GOODS MANUFACTURING."
"110000580657","RCRAINFO","PRD980767974","LQG","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580657","RCRAINFO","PRD000831610","UNSPECIFIED UNIVERSE","339114","SECONDARY","DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING."
"110000580657","AIRS/AFS","7208500024","AIR MAJOR","325412","PRIMARY","PHARMACEUTICAL PREPARATION MANUFACTURING."
"110000580666","RMP","100000094033","RMP REPORTER","332117","UNKNOWN","POWDER METALLURGY PART MANUFACTURING."
"110000580666","TRIS","00673GBNSLROAD9","TRI REPORTER","332117","PRIMARY","POWDER METALLURGY PART MANUFACTURING."
"110000580666","RCRAINFO","PRD090426180","LQG","332117","PRIMARY","POWDER METALLURGY PART MANUFACTURING."
"110000580675","TRIS","00680MYGZGMALEC","TRI REPORTER","221122","UNKNOWN","ELECTRIC POWER DISTRIBUTION."
"110000580675","E-GGRT","1005541","GREENHOUSE GAS REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580675","AIR","PR0000007209700008","AIR MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580675","TRIS","00680MYGZGMALEC","TRI REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580675","AIRS/AFS","7209700008","AIR MAJOR","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000580675","RCRAINFO","PRR000018366","UNSPECIFIED UNIVERSE","22111","PRIMARY","ELECTRIC POWER GENERATION"
"110000580675","AIR","PR0000007209700008","AIR MAJOR","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000580675","AIR","PR0000007209700008","AIR MAJOR","221122","PRIMARY","ELECTRIC POWER DISTRIBUTION."
"110000580675","EIS","15515011","AIR EMISSIONS CLASSIFICATION UNKNOWN","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580675","TRIS","00680MYGZGMALEC","TRI REPORTER","221121","UNKNOWN","ELECTRIC BULK POWER TRANSMISSION AND CONTROL."
"110000580719","TRIS","00693PRPVGPR2KM","TRI REPORTER","221122","UNKNOWN","ELECTRIC POWER DISTRIBUTION."
"110000580719","EIS","15515111","AIR EMISSIONS CLASSIFICATION UNKNOWN","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580719","RCRAINFO","PRR000023515","CESQG","2211","PRIMARY","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION"
"110000580719","TRIS","00693PRPVGPR2KM","TRI REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580719","TRIS","00693PRPVGPR2KM","TRI REPORTER","221121","UNKNOWN","ELECTRIC BULK POWER TRANSMISSION AND CONTROL."
"110000580719","AIR","PR0000007214500007","AIR MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580764","AIRS/AFS","7210900016","AIR MINOR","335314","PRIMARY","RELAY AND INDUSTRIAL CONTROL MANUFACTURING."
"110000580764","TRIS","00707CRBGNSTATE","TRI REPORTER","335314","PRIMARY","RELAY AND INDUSTRIAL CONTROL MANUFACTURING."
"110000580764","AIR","PR0000007210900016","AIR MINOR","335314","PRIMARY","RELAY AND INDUSTRIAL CONTROL MANUFACTURING."
"110000580791","RCRAINFO","PRD090037276","OTHER HAZARDOUS WASTE ACTIVITIES","335313","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING."
"110000580791","TRIS","00721CRBGNRD191","TRI REPORTER","335999","PRIMARY","ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING."
"110000580791","RCRAINFO","PRD090510793","OTHER HAZARDOUS WASTE ACTIVITIES","332813","SECONDARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000580791","RCRAINFO","PRD090510793","OTHER HAZARDOUS WASTE ACTIVITIES","335313","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING."
"110000580817","RMP","100000201131","RMP REPORTER","334419","UNKNOWN","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000580817","TRIS","00732CHCKPSABAN","TRI REPORTER","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000580826","TRIS","00742GLMRTSTATE","TRI REPORTER","313312","PRIMARY","TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS."
"110000580826","RMP","100000148869","RMP REPORTER","31324","UNKNOWN","KNIT FABRIC MILLS"
"110000580826","RCRAINFO","PRR000016642","CESQG","56291","PRIMARY","REMEDIATION SERVICES"
"110000580853","TRIS","00753WLLCNBSTRE","TRI REPORTER","339912","PRIMARY","SILVERWARE AND HOLLOWWARE MANUFACTURING."
"110000580871","RCRAINFO","PRD982791220","UNSPECIFIED UNIVERSE","32511","SECONDARY","PETROCHEMICAL MANUFACTURING"
"110000580871","TRIS","00759MNLDLBROAD","TRI REPORTER","424690","PRIMARY","OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS."
"110000580880","RCRAINFO","PRD000708305","UNSPECIFIED UNIVERSE","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000580880","TRIS","00759NTRRPRD854","TRI REPORTER","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000580915","TRIS","00767YBCSNROUTE","TRI REPORTER","493110","PRIMARY","GENERAL WAREHOUSING AND STORAGE."
"110000580915","TRIS","00767YBCSNROUTE","TRI REPORTER","324110","PRIMARY","PETROLEUM REFINERIES."
"110000580915","EIS","7439011","HAZARDOUS AIR POLLUTANT MAJOR","324110","PRIMARY","PETROLEUM REFINERIES."
"110000580915","TRIS","00767YBCSNROUTE","TRI REPORTER","492210","UNKNOWN","LOCAL MESSENGERS AND LOCAL DELIVERY."
"110000580915","RCRAINFO","PRR000015271","UNSPECIFIED UNIVERSE","81112","PRIMARY","AUTOMOTIVE BODY, PAINT, INTERIOR, AND GLASS REPAIR"
"110000580915","AIR","PR0000007215100004","AIR MAJOR","324110","PRIMARY","PETROLEUM REFINERIES."
"110000580915","RMP","100000105931","RMP REPORTER","324191","UNKNOWN","PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING."
"110000580915","RMP","100000105931","RMP REPORTER","32411","UNKNOWN","PETROLEUM REFINERIES"
"110000580915","AIRS/AFS","7215100004","AIR MAJOR","324110","PRIMARY","PETROLEUM REFINERIES."
"110000580915","RCRAINFO","PRD090074071","LQG","49311","PRIMARY","GENERAL WAREHOUSING AND STORAGE"
"110000580915","RCRAINFO","PRD090074071","LQG","42471","SECONDARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000580924","RMP","100000038915","RMP REPORTER","325181","UNKNOWN","ALKALIES AND CHLORINE MANUFACTURING."
"110000580924","RMP","100000038915","RMP REPORTER","32599","UNKNOWN","ALL OTHER CHEMICAL PRODUCT AND PREPARATION MANUFACTURING"
"110000580933","AIR","PR0000007205700005","AIR MAJOR","221111","PRIMARY","HYDROELECTRIC POWER GENERATION."
"110000580933","TRIS","00784PRPJBPR03K","TRI REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580933","AIR","PR0000007205700005","AIR MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580933","TRIS","00784PRPJBPR03K","TRI REPORTER","221122","UNKNOWN","ELECTRIC POWER DISTRIBUTION."
"110000580933","EIS","15514911","AIR EMISSIONS CLASSIFICATION UNKNOWN","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000580933","AIRS/AFS","7205700005","AIR MAJOR","221111","PRIMARY","HYDROELECTRIC POWER GENERATION."
"110000580933","TRIS","00784PRPJBPR03K","TRI REPORTER","221121","UNKNOWN","ELECTRIC BULK POWER TRANSMISSION AND CONTROL."
"110000580979","TRIS","00918TRPCRFEDER","TRI REPORTER","331319","PRIMARY","OTHER ALUMINUM ROLLING AND DRAWING."
"110000580988","EIS","7129311","AIR EMISSIONS CLASSIFICATION UNKNOWN","45431","PRIMARY","FUEL DEALERS"
"110000580988","TRIS","00926SHLLCRD28P","TRI REPORTER","424710","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS."
"110000580997","RMP","100000135114","RMP REPORTER","32518","UNKNOWN","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000580997","RMP","100000135114","RMP REPORTER","325188","UNKNOWN","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000580997","EIS","7115311","AIR EMISSIONS CLASSIFICATION UNKNOWN","325998","PRIMARY","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000580997","RMP","100000135114","RMP REPORTER","325998","UNKNOWN","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000580997","TRIS","00926WTRTRPOBOX","TRI REPORTER","325998","PRIMARY","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
