"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","FED_STATE_CODE","START_DATE","START_DATE_QUALIFIER","END_DATE","END_DATE_QUALIFIER","SOURCE_OF_DATA","LAST_REPORTED_DATE","CREATE_DATE","UPDATE_DATE"
"110000307757","NCDB","I02#1995042010770 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 13:33:51","08-MAY-2003 07:55:54"
"110000307766","ICIS","40722","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","11-MAY-2016 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","18-MAY-2016 15:07:54","06-JUN-2016 08:51:18",""
"110000307766","ICIS","40722","FORMAL ENFORCEMENT ACTION","FEDERAL","26-MAY-1976 00:00:00","COMPLAINT FILED WITH COURT","","","ICIS","08-JUL-1997 18:01:00","15-JUN-2002 03:16:09","07-OCT-2012 11:15:53"
"110000307766","AIRS/AFS","7209700009","AIR MINOR","FEDERAL","","","","","AIRS/AFS","10-MAR-2014 00:00:00","08-SEP-2005 09:47:38","30-APR-2014 11:25:08"
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:38:02","31-DEC-2015 14:35:30"
"110000307766","RMP","100000121584","RMP REPORTER","FEDERAL","21-JUN-1999 00:00:00","FIRST REPORT POSTMARK DATE","15-MAY-2001 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","21-JUN-1999 00:00:00","19-JUN-2000 11:52:09","14-FEB-2014 11:04:41"
"110000307766","AIR","PR0000007209700009","AIR MAJOR","FEDERAL","19-OCT-2014 00:00:00","CLS","","","ICIS","19-OCT-2014 00:00:00","09-NOV-2014 10:10:01","07-OCT-2016 18:31:48"
"110000307766","ICIS","44370","FORMAL ENFORCEMENT ACTION","FEDERAL","09-MAR-2001 00:00:00","COMPLAINT/PROPOSED ORDER","","","ICIS","13-MAR-2002 09:03:08","14-MAR-2001 00:00:00","07-OCT-2012 11:15:53"
"110000307775","SFDW","PR0458204","COMMUNITY WATER SYSTEM","FEDERAL","23-MAY-1995 00:00:00","FIRST REPORTED DATE","01-NOV-1997 00:00:00","DEACTIVATION DATE","SFDW","30-DEC-1997 00:00:00","26-OCT-2012 12:57:42","30-JAN-2015 10:55:27"
"110000307775","EIS","15511911","AIR EMISSIONS CLASSIFICATION UNKNOWN","FEDERAL","","","","","EIS","07-JUL-0017 00:00:00","14-APR-2015 23:57:33","01-JUN-2017 14:13:01"
"110000307775","RCRAINFO","PRD090452624","SQG","FEDERAL","01-MAR-1981 00:00:00","FIRST PART A REPORT DATE","","","RCRAINFO","10-NOV-2016 00:00:00","17-OCT-2017 00:00:00",""
"110000307775","ICIS","1800045170","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","21-JAN-2010 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","11-MAR-2010 12:33:46","28-MAY-2010 19:13:21",""
"110000307775","AIR","PR0000007211300013","AIR MAJOR","FEDERAL","19-OCT-2014 00:00:00","OPR","","","ICIS","18-MAY-2016 14:33:17","13-NOV-2000 17:15:17","07-OCT-2016 18:30:37"
"110000307775","AIRS/AFS","7211300013","AIR MAJOR","FEDERAL","","","","","AIRS/AFS","15-SEP-2014 00:00:00","13-NOV-2000 17:15:17","01-OCT-2014 11:25:00"
"110000307775","NCDB","I02#19910801PR003 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 13:01:47","24-APR-2002 13:01:47"
"110000307775","NPDES","PRR053241","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","13-DEC-2015 00:00:00","12-JAN-2016 12:56:10","03-SEP-2016 12:52:20"
"110000307775","NPDES","PRR053241","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","13-DEC-2015 00:00:00","12-JAN-2016 12:56:10","03-SEP-2016 12:52:20"
"110000307775","TRIS","00715DSTLR331AH","TRI REPORTER","","","","","","TRIS","30-JUN-2016 16:48:57","30-AUG-2013 08:30:45","30-JUN-2016 16:48:57"
"110000307775","ICIS","3000009042","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","17-APR-2012 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","04-MAY-2012 09:24:16","01-AUG-2012 12:03:22",""
"110000307784","TRIS","00731SRLKNAVENU","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:38:07","31-DEC-2015 14:35:30"
"110000307784","RCRAINFO","PRD090526906","CESQG","FEDERAL","31-DEC-1979 00:00:00","EARLIEST RCRAINFO DATE","","","RCRAINFO","06-OCT-2009 00:00:00","22-OCT-2003 08:00:16","10-AUG-2010 08:40:51"
"110000307793","RCRAINFO","PRD090506239","LQG","FEDERAL","31-DEC-1979 00:00:00","EARLIEST RCRAINFO DATE","","","RCRAINFO","20-JUN-2016 00:00:00","18-MAY-2001 17:14:01","28-JUL-2016 10:22:53"
"110000307793","TSCA","TSCA6425","TSCA SUBMITTER","FEDERAL","","","","","TSCA","","31-AUG-2014 21:56:17",""
"110000307793","BR","PRD090506239","HAZARDOUS WASTE BIENNIAL REPORTER","FEDERAL","","","01-JAN-2016 00:00:00","YEAR REPORTING STOPPED","RCRAINFO","31-DEC-2015 00:00:00","15-SEP-2010 01:47:43","14-DEC-2017 11:11:25"
"110000307793","TSCA","100606311","TSCA SUBMITTER","FEDERAL","","","","","TSCA","13-AUG-2012 00:00:00","07-FEB-2014 10:11:15",""
"110000307793","TSCA","200002225","TSCA SUBMITTER","FEDERAL","","","","","TSCA","","15-MAY-2008 13:15:46","21-APR-2009 11:50:24"
"110000307793","TRIS","00747LCTTPNO9VQ","TRI REPORTER","","","","","","TRIS","16-JUN-2016 14:10:52","30-AUG-2013 08:31:22","16-JUN-2016 14:10:52"
"110000307793","TSCA","200002765","TSCA SUBMITTER","FEDERAL","","","","","TSCA","","15-MAY-2008 18:12:17","21-APR-2009 11:50:24"
"110000307793","AIR","PR0000007212170024","AIR MINOR","FEDERAL","19-OCT-2014 00:00:00","OPR","","","ICIS","19-OCT-2014 00:00:00","04-MAR-2016 15:17:11","07-OCT-2016 18:24:08"
"110000307793","AIRS/AFS","7212170024","AIR MINOR","FEDERAL","","","","","AIRS/AFS","19-MAR-2010 00:00:00","04-APR-2006 21:14:57","30-APR-2014 11:10:15"
"110000307793","RCRAINFO","PRD982274383","UNSPECIFIED UNIVERSE","FEDERAL","31-AUG-1987 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","14-APR-2015 00:00:00","26-NOV-2007 10:36:37","28-MAY-2015 22:40:00"
"110000307793","NCDB","I02#198706174489  1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:58:03","24-APR-2002 14:58:03"
"110000307793","NCDB","I02#19890924PR001 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 15:27:36","24-APR-2002 15:27:36"
"110000307800","SFDW","PR0563105 878","WATER TREATMENT PLANT","FEDERAL","05-JUN-2006 00:00:00","FIRST REPORTED DATE","","","SFDW","24-FEB-2016 00:00:00","26-OCT-2012 19:02:08","27-JUN-2016 14:58:12"
"110000307800","ICIS","6680043","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","20-MAY-2004 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","20-JUL-2004 09:39:51","13-OCT-2005 12:30:25",""
"110000307800","SFDW","PR0563065 572","WATER TREATMENT PLANT","FEDERAL","05-JUN-2006 00:00:00","FIRST REPORTED DATE","","","SFDW","24-FEB-2016 00:00:00","27-OCT-2012 09:58:44","27-JUN-2016 14:53:54"
"110000307800","ICIS","2600001552","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","28-AUG-2007 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","11-MAR-2010 07:48:49","26-MAY-2011 13:05:39",""
"110000307800","NCDB","I02#198307101547  1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:58:38","24-APR-2002 14:58:38"
"110000307800","NCDB","I02#200209180007  2","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","21-DEC-2003 13:32:20",""
"110000307800","BR","PRD980644470","HAZARDOUS WASTE BIENNIAL REPORTER","FEDERAL","","","","","RCRAINFO","31-DEC-2007 00:00:00","15-SEP-2010 05:43:09","28-MAR-2011 16:37:01"
"110000307800","ICIS","2448082","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","10-DEC-2002 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","14-MAR-2003 15:05:08","17-JUN-2003 15:05:47",""
"110000307800","ICIS","600035921","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","29-AUG-2007 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","09-OCT-2007 15:28:19","15-NOV-2007 14:06:32",""
"110000307800","CAMDBS","880105","AIR PROGRAM","FEDERAL","","","","","CAMDBS","15-JAN-2016 12:50:40","21-APR-2016 14:38:48",""
"110000307800","NCDB","I02#199202052774  1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 17:59:29","24-APR-2002 17:59:29"
"110000307800","ICIS","6386819","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","06-FEB-2004 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","14-APR-2004 12:03:23","27-APR-2004 12:43:38",""
"110000307800","SFDW","PR0563105","NON-TRANSIENT NON-COMMUNITY WATER SYSTEM","FEDERAL","02-DEC-2003 00:00:00","FIRST REPORTED DATE","","","SFDW","24-FEB-2016 00:00:00","27-OCT-2012 11:49:45","27-JUN-2016 14:55:53"
"110000307800","AIR","PR0000007212300011","AIR MAJOR","FEDERAL","19-OCT-2014 00:00:00","OPR","","","ICIS","12-APR-2017 08:31:06","13-MAR-2002 01:18:36","07-OCT-2016 18:30:58"
"110000307800","NCDB","I02#2000121214684 2","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","27-MAY-2005 11:51:11",""
"110000307800","AIRS/AFS","7212300011","AIR MAJOR","FEDERAL","","","","","AIRS/AFS","07-APR-2014 00:00:00","13-MAR-2002 01:18:36","30-APR-2014 11:24:10"
"110000307800","EIS","6958711","HAZARDOUS AIR POLLUTANT MAJOR","FEDERAL","","","","","EIS","07-JUL-0017 00:00:00","14-APR-2015 23:58:39","01-JUN-2017 14:13:09"
"110000307800","SFDW","PR0563065","NON-TRANSIENT NON-COMMUNITY WATER SYSTEM","FEDERAL","24-OCT-1984 00:00:00","FIRST REPORTED DATE","","","SFDW","24-FEB-2016 00:00:00","27-OCT-2012 11:49:44","27-JUN-2016 14:55:53"
"110000307800","NCDB","I02#2000121214684 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 18:25:49","24-APR-2002 18:25:49"
"110000307800","TRIS","00751PRPGRPRO3K","TRI REPORTER","","","","","","TRIS","06-MAY-2016 10:44:17","30-AUG-2013 08:31:12","06-MAY-2016 10:44:17"
"110000307800","ICIS","30957","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","18-OCT-2002 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","27-OCT-2003 17:09:46","20-JAN-2004 12:58:05",""
"110000307800","ICIS","30957","FORMAL ENFORCEMENT ACTION","FEDERAL","27-OCT-1993 00:00:00","COMPLAINT FILED WITH COURT","","","ICIS","11-DEC-2001 11:12:35","21-SEP-1992 00:00:00","10-JUN-2003 00:00:00"
"110000307800","E-GGRT","1005504","GREENHOUSE GAS REPORTER","FEDERAL","28-JUN-2013 00:00:00","FIRST REGISTRATION DATE","","","E-GGRT","","14-JUL-2017 00:00:00",""
"110000307800","NPDES","PR0001660","ICIS-NPDES MAJOR","FEDERAL","30-NOV-1976 00:00:00","ORIGINAL PERMIT ISSUE DATE","","","ICIS","30-JUN-2015 00:00:00","20-FEB-2007 13:56:28","01-AUG-2012 11:48:35"
"110000307800","RCRAINFO","PRD980644470","SQG","FEDERAL","01-DEC-1980 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","14-APR-2015 00:00:00","10-AUG-2010 08:48:37","28-MAY-2015 22:43:34"
"110000307800","ICIS","6680044","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","20-MAY-2004 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","20-JUL-2004 09:52:31","13-OCT-2005 12:30:26",""
"110000307837","ICIS","40846","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","15-OCT-2009 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","05-APR-2010 09:29:08","30-MAY-2010 19:23:02",""
"110000307837","RCRAINFO","PRD090564477","TSD","FEDERAL","01-MAR-1981 00:00:00","FIRST PART A REPORT DATE","","","RCRAINFO","06-OCT-2009 00:00:00","04-SEP-2002 22:43:03","09-MAY-2012 14:40:38"
"110000307837","TRIS","00759BRCWDCARR8","TRI REPORTER","","","","","","TRIS","21-JUN-2016 15:14:24","30-AUG-2013 08:31:13","21-JUN-2016 15:14:24"
"110000307837","NCDB","I02#19930917PR004 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:52:34","24-APR-2002 14:52:34"
"110000307837","ICIS","40846","FORMAL ENFORCEMENT ACTION","FEDERAL","08-JAN-1987 00:00:00","COMPLAINT/PROPOSED ORDER","","","ICIS","28-JUN-1995 17:01:00","04-NOV-1992 00:00:00","10-JUN-2003 00:00:00"
"110000307837","RCRAINFO","PRD090564477","CESQG","FEDERAL","01-MAR-1981 00:00:00","FIRST PART A REPORT DATE","","","RCRAINFO","06-OCT-2009 00:00:00","26-OCT-2009 11:02:56","10-AUG-2010 08:40:51"
"110000307837","NPDES","PRR05B024","ICIS-NPDES MINOR","FEDERAL","","","","","ICIS","","23-FEB-2010 14:07:22","09-AUG-2016 07:59:50"
"110000307846","NPDES","PRR053255","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","04-JAN-2016 00:00:00","12-JAN-2016 12:56:20","03-SEP-2016 12:58:49"
"110000307846","TRIS","00765CRBGNRTE20","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:38:23","31-DEC-2015 14:35:31"
"110000307846","RCRAINFO","PRD000692582","CESQG","FEDERAL","31-DEC-1979 00:00:00","EARLIEST RCRAINFO DATE","","","RCRAINFO","06-OCT-2009 00:00:00","26-OCT-2009 11:03:27","31-JAN-2012 14:56:28"
"110000307846","NPDES","PRR053255","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","04-JAN-2016 00:00:00","12-JAN-2016 12:56:20","03-SEP-2016 12:58:49"
"110000307846","ICIS","42774","FORMAL ENFORCEMENT ACTION","FEDERAL","30-JUN-1989 00:00:00","COMPLAINT/PROPOSED ORDER","","","ICIS","30-MAR-1995 08:01:00","30-JUN-1989 00:00:00","10-JUN-2003 00:00:00"
"110000307855","NCDB","I02#19910618PR001 4","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:55:23","24-APR-2002 14:55:23"
"110000307855","NCDB","I02#19910618PR003 3","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:55:23","24-APR-2002 14:55:23"
"110000307855","RCRAINFO","PRD049532807","LQG","FEDERAL","21-APR-1986 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","20-JUN-2016 00:00:00","09-JAN-2008 13:38:59","28-JUL-2016 10:22:53"
"110000307855","AIRS/AFS","7215300029","AIR MAJOR","FEDERAL","","","","","AIRS/AFS","15-SEP-2014 00:00:00","12-MAR-2002 15:10:18","01-OCT-2014 11:24:30"
"110000307855","BR","PRD049532807","HAZARDOUS WASTE BIENNIAL REPORTER","FEDERAL","","","01-JAN-2016 00:00:00","YEAR REPORTING STOPPED","RCRAINFO","31-DEC-2015 00:00:00","14-SEP-2010 20:25:07","14-DEC-2017 11:11:13"
"110000307855","TRIS","00768SRTRSROAD1","TRI REPORTER","","","","","","TRIS","14-JUN-2017 10:22:36","30-AUG-2013 08:30:38","14-JUN-2017 10:22:36"
"110000307855","AIR","PR0000007215300029","AIR MAJOR","FEDERAL","19-OCT-2014 00:00:00","OPR","","","ICIS","06-DEC-2016 11:11:05","12-MAR-2002 15:10:18","07-OCT-2016 18:32:44"
"110000307855","RCRAINFO","PRR000024596","CESQG","FEDERAL","02-JUL-2013 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","21-NOV-2013 00:00:00","31-JUL-2013 09:54:30","17-DEC-2013 13:21:27"
"110000307873","TRIS","00961NSLRWCALLE","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:38:34","31-DEC-2015 14:35:32"
"110000307873","NCDB","I02#19871202PR001 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 17:59:57","24-APR-2002 17:59:57"
"110000307873","NCDB","D02#EP-SUP-95-0303","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 13:22:27","24-APR-2002 13:22:27"
"110000307873","NCDB","I02#19941020E2002 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 12:59:48","24-APR-2002 12:59:48"
"110000307873","ICIS","44691","FORMAL ENFORCEMENT ACTION","FEDERAL","06-JUN-1995 00:00:00","COMPLAINT/PROPOSED ORDER","","","ICIS","26-AUG-1997 15:01:00","13-JUN-1995 00:00:00","08-DEC-2003 17:21:24"
"110000491833","TRIS","00738PLLPRRD19A","TRI REPORTER","","","","","","TRIS","01-JUL-2016 14:59:13","30-AUG-2013 08:30:50","01-JUL-2016 14:59:13"
"110000491833","BR","PRD981139611","HAZARDOUS WASTE BIENNIAL REPORTER","FEDERAL","","","01-JAN-2016 00:00:00","YEAR REPORTING STOPPED","RCRAINFO","31-DEC-2015 00:00:00","15-SEP-2010 05:44:40","14-DEC-2017 11:11:23"
"110000491833","RCRAINFO","PRD981139611","LQG","FEDERAL","21-OCT-1985 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","20-JUN-2016 00:00:00","20-OCT-2003 14:31:33","28-JUL-2016 10:22:55"
"110000491833","NCDB","I02#19880222PR001 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 14:57:25","04-OCT-2002 09:27:55"
"110000491833","NCDB","C02#2002155","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","20-NOV-2003 07:10:00",""
"110000498159","RCRAINFO","PRD987372794","CESQG","FEDERAL","11-MAR-1992 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","06-OCT-2009 00:00:00","18-MAY-2001 17:14:38","09-MAY-2012 14:40:24"
"110000498159","TRIS","00623CBRJWROAD3","TRI REPORTER","","","","","","TRIS","","17-JUN-2000 23:48:51","31-DEC-2015 14:35:30"
"110000557004","RMP","100000119588","RMP REPORTER","FEDERAL","01-SEP-2004 00:00:00","FIRST REPORT POSTMARK DATE","15-MAY-2009 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","29-APR-2009 00:00:00","19-JUN-2000 10:03:57","14-FEB-2014 11:04:32"
"110000557184","RMP","100000120102","RMP REPORTER","FEDERAL","21-JUN-1999 00:00:00","FIRST REPORT POSTMARK DATE","21-NOV-2007 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","21-JUN-1999 00:00:00","19-JUN-2000 10:04:18","14-FEB-2014 11:04:50"
"110000557193","RMP","100000120148","RMP REPORTER","FEDERAL","01-SEP-2004 00:00:00","FIRST REPORT POSTMARK DATE","19-JUN-2007 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","03-SEP-2004 00:00:00","19-JUN-2000 10:04:20","14-FEB-2014 11:04:50"
"110000557200","RMP","100000120184","RMP REPORTER","FEDERAL","01-SEP-2004 00:00:00","FIRST REPORT POSTMARK DATE","06-DEC-2009 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","10-JUN-2009 00:00:00","19-JUN-2000 10:04:22","14-FEB-2014 11:05:23"
"110000557255","SFDW","PR0003772","COMMUNITY WATER SYSTEM","FEDERAL","28-DEC-1992 00:00:00","FIRST REPORTED DATE","","","SFDW","24-FEB-2016 00:00:00","30-OCT-2002 18:39:42","27-JUN-2016 14:55:58"
"110000557255","RCRAINFO","PRR000014050","UNSPECIFIED UNIVERSE","FEDERAL","01-AUG-2001 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","06-OCT-2009 00:00:00","26-NOV-2007 10:36:46","10-AUG-2010 08:40:52"
"110000557255","NPDES","PR0025721","ICIS-NPDES NON-MAJOR","FEDERAL","01-OCT-1999 00:00:00","ORIGINAL PERMIT ISSUE DATE","","","ICIS","20-DEC-2012 00:00:00","20-FEB-2007 13:57:37","03-SEP-2016 13:00:34"
"110000557255","RMP","100000120291","RMP REPORTER","FEDERAL","18-JUN-2004 00:00:00","FIRST REPORT POSTMARK DATE","21-APR-2009 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","21-JUN-2004 00:00:00","19-JUN-2000 10:04:27","14-FEB-2014 11:05:14"
"110000557424","NPDES","PRL020427","BIOSOLIDS","FEDERAL","","","","","ICIS","","12-JAN-2017 00:00:00",""
"110000557424","NPDES","PRL020427","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","","12-JAN-2017 00:00:00",""
"110000557424","NPDES","PRR053034","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","01-OCT-2015 00:00:00","07-OCT-2015 13:37:35","03-SEP-2016 13:02:06"
"110000557424","NPDES","PRR053034","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","01-OCT-2015 00:00:00","10-NOV-2015 15:09:15","03-SEP-2016 13:02:06"
"110000557424","NPDES","PR0020427","ICIS-NPDES MAJOR","FEDERAL","31-OCT-1975 00:00:00","ORIGINAL PERMIT ISSUE DATE","","","ICIS","28-SEP-2016 00:00:00","20-FEB-2007 13:56:29","09-DEC-2013 12:37:04"
"110000557424","RCRAINFO","PRD000689406","UNSPECIFIED UNIVERSE","FEDERAL","18-AUG-1980 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","14-APR-2015 00:00:00","26-NOV-2007 10:36:12","28-MAY-2015 22:44:20"
"110000557424","RMP","100000121441","RMP REPORTER","FEDERAL","21-JUN-1999 00:00:00","FIRST REPORT POSTMARK DATE","22-OCT-2007 00:00:00","DE-REGISTRATION EFFECTIVE DATE","RMP","21-JUN-1999 00:00:00","19-JUN-2000 10:05:01","14-FEB-2014 11:05:14"
"110000557424","ICIS","44511","FORMAL ENFORCEMENT ACTION","FEDERAL","23-JUN-1997 00:00:00","FINAL ORDER ISSUED","","","ICIS","04-MAR-2008 07:40:24","16-JUL-1997 00:00:00","28-MAY-2008 12:28:06"
"110000557424","NPDES","PR0020427","POTW","FEDERAL","31-OCT-1975 00:00:00","ORIGINAL PERMIT ISSUE DATE","","","ICIS","28-SEP-2016 00:00:00","18-AUG-2015 14:54:15","03-SEP-2016 12:49:53"
