"Country or Area","Year(s)","Variant","Value"
"Cook Islands","2010-2015","Medium",""
"Costa Rica","2010-2015","Medium","9.334"
"Croatia","2010-2015","Medium","3.948"
"Cuba","2010-2015","Medium","5.496"
"Curaçao","2010-2015","Medium","10.257"
"Cyprus","2010-2015","Medium","4.199"
"Czechia","2010-2015","Medium","2.524"
"Dem. People's Republic of Korea","2010-2015","Medium","18.536"
"Democratic Republic of the Congo","2010-2015","Medium","73.171"
"Denmark","2010-2015","Medium","3.509"
"Djibouti","2010-2015","Medium","55.295"
"Dominica","2010-2015","Medium",""
"Dominican Republic","2010-2015","Medium","25.079"
"Eastern Africa","2010-2015","Medium","52.163"
"Eastern Asia","2010-2015","Medium","10.980"
"Eastern Europe","2010-2015","Medium","7.589"
"Ecuador","2010-2015","Medium","21.060"
"Egypt","2010-2015","Medium","18.919"
"El Salvador","2010-2015","Medium","17.029"
"Equatorial Guinea","2010-2015","Medium","69.976"
"Eritrea","2010-2015","Medium","45.021"
"Estonia","2010-2015","Medium","3.195"
"Ethiopia","2010-2015","Medium","45.806"
"Europe","2010-2015","Medium","5.343"
"Faeroe Islands","2010-2015","Medium",""
"Falkland Islands (Malvinas)","2010-2015","Medium",""
"Fiji","2010-2015","Medium","16.013"
"Finland","2010-2015","Medium","2.252"
"France","2010-2015","Medium","3.371"
"French Guiana","2010-2015","Medium","9.268"
"French Polynesia","2010-2015","Medium","6.904"
"Gabon","2010-2015","Medium","40.847"
"Gambia","2010-2015","Medium","49.846"
"Georgia","2010-2015","Medium","11.194"
"Germany","2010-2015","Medium","3.359"
"Ghana","2010-2015","Medium","46.473"
"Gibraltar","2010-2015","Medium",""
"Greece","2010-2015","Medium","3.274"
"Greenland","2010-2015","Medium",""
"Grenada","2010-2015","Medium","9.580"
"Guadeloupe","2010-2015","Medium","5.805"
"Guam","2010-2015","Medium","9.555"
"Guatemala","2010-2015","Medium","26.945"
"Guinea","2010-2015","Medium","65.733"
"Guinea-Bissau","2010-2015","Medium","80.444"
"Guyana","2010-2015","Medium","33.211"
"Haiti","2010-2015","Medium","46.943"
"High-income countries","2010-2015","Medium","4.876"
"Holy See","2010-2015","Medium",""
"Honduras","2010-2015","Medium","27.773"
"Hungary","2010-2015","Medium","4.871"
"Iceland","2010-2015","Medium","1.571"
"India","2010-2015","Medium","41.275"
"Indonesia","2010-2015","Medium","24.959"
"Iran (Islamic Republic of)","2010-2015","Medium","14.782"
"Iraq","2010-2015","Medium","32.125"
"Ireland","2010-2015","Medium","3.406"
"Isle of Man","2010-2015","Medium",""
"Israel","2010-2015","Medium","3.431"
"Italy","2010-2015","Medium","3.036"
"Jamaica","2010-2015","Medium","15.035"
"Japan","2010-2015","Medium","2.198"
"Jordan","2010-2015","Medium","17.067"
"Kazakhstan","2010-2015","Medium","14.120"
"Kenya","2010-2015","Medium","39.358"
"Kiribati","2010-2015","Medium","46.892"
"Kuwait","2010-2015","Medium","8.352"
"Kyrgyzstan","2010-2015","Medium","19.553"
"Lao People's Democratic Republic","2010-2015","Medium","47.257"
"Latin America and the Caribbean","2010-2015","Medium","18.686"
"Latvia","2010-2015","Medium","6.488"
"Least developed countries","2010-2015","Medium","56.069"
"Lebanon","2010-2015","Medium","9.195"
"Lesotho","2010-2015","Medium","59.825"
"Less developed regions","2010-2015","Medium","38.253"
"Less developed regions excluding China","2010-2015","Medium","42.598"
"Less developed regions excluding least developed countries","2010-2015","Medium","32.663"
"Liberia","2010-2015","Medium","59.004"
"Libya","2010-2015","Medium","24.281"
"Liechtenstein","2010-2015","Medium",""
"Lithuania","2010-2015","Medium","4.366"
"Low-income countries","2010-2015","Medium","59.787"
"Lower-middle-income countries","2010-2015","Medium","43.706"
"Luxembourg","2010-2015","Medium","3.420"
"Madagascar","2010-2015","Medium","36.775"
"Malawi","2010-2015","Medium","66.484"
"Malaysia","2010-2015","Medium","6.541"
"Maldives","2010-2015","Medium","8.971"
"Mali","2010-2015","Medium","78.502"
"Malta","2010-2015","Medium","4.831"
"Marshall Islands","2010-2015","Medium",""
"Martinique","2010-2015","Medium","6.371"
"Mauritania","2010-2015","Medium","68.002"
"Mauritius","2010-2015","Medium","11.964"
"Mayotte","2010-2015","Medium","4.196"
"Melanesia","2010-2015","Medium","44.294"
"Mexico","2010-2015","Medium","18.787"
"Micronesia","2010-2015","Medium","27.931"
"Micronesia (Fed. States of)","2010-2015","Medium","33.206"
"Middle Africa","2010-2015","Medium","72.183"
"Middle-income countries","2010-2015","Medium","33.485"
"Monaco","2010-2015","Medium",""
"Mongolia","2010-2015","Medium","22.790"
"Montenegro","2010-2015","Medium","4.083"
"Montserrat","2010-2015","Medium",""
"More developed regions","2010-2015","Medium","5.224"
"Morocco","2010-2015","Medium","28.130"
"Mozambique","2010-2015","Medium","67.325"
"Myanmar","2010-2015","Medium","45.008"
"Namibia","2010-2015","Medium","36.393"
"Nauru","2010-2015","Medium",""
"Nepal","2010-2015","Medium","32.836"
"Netherlands","2010-2015","Medium","3.454"
"New Caledonia","2010-2015","Medium","13.019"
"New Zealand","2010-2015","Medium","4.363"
"Nicaragua","2010-2015","Medium","19.956"
"Niger","2010-2015","Medium","65.778"
"Nigeria","2010-2015","Medium","76.301"
"Niue","2010-2015","Medium",""
"Northern Africa","2010-2015","Medium","28.064"
"Northern America","2010-2015","Medium","5.866"
"Northern Europe","2010-2015","Medium","3.726"
"Northern Mariana Islands","2010-2015","Medium",""
"Norway","2010-2015","Medium","2.446"
"Oceania","2010-2015","Medium","20.801"
"Oman","2010-2015","Medium","9.599"
"Pakistan","2010-2015","Medium","69.821"
"Palau","2010-2015","Medium",""
"Panama","2010-2015","Medium","15.154"
"Papua New Guinea","2010-2015","Medium","49.020"
"Paraguay","2010-2015","Medium","28.768"
"Peru","2010-2015","Medium","18.622"
"Philippines","2010-2015","Medium","22.244"
"Poland","2010-2015","Medium","4.525"
"Polynesia","2010-2015","Medium","15.201"
"Portugal","2010-2015","Medium","2.940"
"Puerto Rico","2010-2015","Medium","6.255"
"Qatar","2010-2015","Medium","7.158"
"Republic of Korea","2010-2015","Medium","2.978"
"Republic of Moldova","2010-2015","Medium","14.300"
"Réunion","2010-2015","Medium","4.196"
"Romania","2010-2015","Medium","8.737"
"Russian Federation","2010-2015","Medium","8.339"
"Rwanda","2010-2015","Medium","44.037"
"Saint Helena","2010-2015","Medium",""
"Saint Kitts and Nevis","2010-2015","Medium",""
"Saint Lucia","2010-2015","Medium","10.899"
"Saint Pierre and Miquelon","2010-2015","Medium",""
"Saint Vincent and the Grenadines","2010-2015","Medium","16.510"
"Samoa","2010-2015","Medium","17.975"
"San Marino","2010-2015","Medium",""
"Sao Tome and Principe","2010-2015","Medium","43.816"
"Saudi Arabia","2010-2015","Medium","13.001"
"Senegal","2010-2015","Medium","43.925"
"Serbia","2010-2015","Medium","9.772"
"Seychelles","2010-2015","Medium","10.173"
"Sierra Leone","2010-2015","Medium","94.419"
"Singapore","2010-2015","Medium","2.067"
"Sint Maarten (Dutch part)","2010-2015","Medium",""
"Slovakia","2010-2015","Medium","5.700"
"Slovenia","2010-2015","Medium","2.508"
"Solomon Islands","2010-2015","Medium","30.038"
"Somalia","2010-2015","Medium","79.458"
"South Africa","2010-2015","Medium","36.523"
"South America","2010-2015","Medium","17.116"
"South Sudan","2010-2015","Medium","77.658"
"South-Central Asia","2010-2015","Medium","43.441"
"South-Eastern Asia","2010-2015","Medium","24.044"
"Southern Africa","2010-2015","Medium","38.011"
"Southern Asia","2010-2015","Medium","44.075"
"Southern Europe","2010-2015","Medium","3.988"
"Spain","2010-2015","Medium","2.880"
"Sri Lanka","2010-2015","Medium","8.230"
"State of Palestine","2010-2015","Medium","19.971"
"Sub-Saharan Africa","2010-2015","Medium","62.111"
"Sudan","2010-2015","Medium","48.740"
"Suriname","2010-2015","Medium","17.372"
"Swaziland","2010-2015","Medium","56.302"
"Sweden","2010-2015","Medium","2.377"
"Switzerland","2010-2015","Medium","3.892"
"Syrian Arab Republic","2010-2015","Medium","17.870"
"Tajikistan","2010-2015","Medium","38.860"
"TFYR Macedonia","2010-2015","Medium","9.023"
"Thailand","2010-2015","Medium","11.245"
"Timor-Leste","2010-2015","Medium","43.891"
"Togo","2010-2015","Medium","55.701"
"Tokelau","2010-2015","Medium",""
"Tonga","2010-2015","Medium","20.614"
"Trinidad and Tobago","2010-2015","Medium","24.754"
"Tunisia","2010-2015","Medium","18.454"
"Turkey","2010-2015","Medium","12.609"
"Turkmenistan","2010-2015","Medium","46.927"
"Turks and Caicos Islands","2010-2015","Medium",""
"Tuvalu","2010-2015","Medium",""
"Uganda","2010-2015","Medium","60.155"
"Ukraine","2010-2015","Medium","8.756"
"United Arab Emirates","2010-2015","Medium","6.226"
"United Kingdom","2010-2015","Medium","4.072"
"United Republic of Tanzania","2010-2015","Medium","43.955"
"United States of America","2010-2015","Medium","5.973"
"United States Virgin Islands","2010-2015","Medium","9.305"
"Upper-middle-income countries","2010-2015","Medium","15.120"
"Uruguay","2010-2015","Medium","12.670"
"Uzbekistan","2010-2015","Medium","31.275"
"Vanuatu","2010-2015","Medium","24.325"
"Venezuela (Bolivarian Republic of)","2010-2015","Medium","13.771"
"Viet Nam","2010-2015","Medium","19.314"
"Wallis and Futuna Islands","2010-2015","Medium",""
"Western Africa","2010-2015","Medium","70.489"
"Western Asia","2010-2015","Medium","22.775"
"Western Europe","2010-2015","Medium","3.401"
"Western Sahara","2010-2015","Medium","34.145"
"World","2010-2015","Medium","35.011"
"Yemen","2010-2015","Medium","47.178"
"Zambia","2010-2015","Medium","53.849"
"Zimbabwe","2010-2015","Medium","46.537"

