,,,,,,,,,,,,,,,,,,
Beach Monitoring and Public Notification Program,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,"Enterococcus
 (colonies/100 mL)","Temperature
(°C)",pH ,Observations,,,,,,,,
4-May-15,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,10,29.30,8.13/8.13,,,,,,,,,
4-May-15,RW-24A,Balneario Sun Bay,18.0963030,-65.4654220,Vieques,Routine,<1,26.60,Data Not Reported,,,,,,,,,
4-May-15,RW-24B,Balneario Sun Bay,18.0967220,-65.4589440,Vieques,Routine,<1,27.20,Data Not Reported,,,,,,,,,
5-May-15,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,10,26.80,8.15,,,,,,,,,
5-May-15,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,<1,27.20,8.23,,,,,,,,,
5-May-15,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,<1,27.40,8.2,,,,,,,,,
5-May-15,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,<1,27.50,8.26,,,,,,,,,
5-May-15,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,<1,28.20,8.24/8.24,,,,,,,,,
5-May-15,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,27.90,8.25,,,,,,,,,
5-May-15,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,<1,27.90,8.29,,,,,,,,,
5-May-15,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,<1,28.00,8.28,,,,,,,,,
5-May-15,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,29.00,8.22,,,,,,,,,
5-May-15,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,10,27.70,8.01,,,,,,,,,
5-May-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,31,27.70,8.03,,,,,,,,,
5-May-15,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,20,28.80,8.08,,,,,,,,,
5-May-15,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,20,29.00,8.05,,,,,,,,,
5-May-15,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,75,29.20,7.88/7.88,,,,,,,,,
5-May-15,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,<1,28.80,8.1,,,,,,,,,
5-May-15,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,<1,28.50,8.13,,,,,,,,,
5-May-15,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,<1,28.40,8.09,,,,,,,,,
5-May-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.40,8.16,,,,,,,,,
5-May-15,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,<1,27.90,8.17,,,,,,,,,
5-May-15,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.40,8.12,,,,,,,,,
5-May-15,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.60,8.16/8.15,,,,,,,,,
11-May-15,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,473,27.30,Bacteriological Re-sampling,,,,,,,,,
11-May-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Re-sampling,275,26.50,Bacteriological Re-sampling,,,,,,,,,
18-May-15,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,<1,27.60,8.09,,,,,,,,,
18-May-15,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,10,28.00,8.03,,,,,,,,,
18-May-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,52,27.80,8.11,,,,,,,,,
18-May-15,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,<1,28.60,8.02/8.02,,,,,,,,,
18-May-15,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,10,27.00,7.92,,,,,,,,,
18-May-15,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Routine,10,28.10,8.04,,,,,,,,,
18-May-15,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,<1,28.40,8.12,,,,,,,,,
18-May-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,<1,29.10,8.09,,,,,,,,,
18-May-15,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,29.80,8.11/8.11,,,,,,,,,
18-May-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Routine,10,28.10,8.04,"The following result provided is preliminary:                            Coliformes Fecales = <1 (Bandera Azul)
",,,,,,,,
18-May-15,RW-25,Playa Pelicano,17.8854030,-66.5280680,Reserva Natural Isla Caja de Muertos,Routine,<1,26.60,Data Not Reported,"The following result provided is preliminary: 
Coliformes Fecales = <1 (Bandera Azul)
pH was not reported: problems with the Metro.
",,,,,,,,
18-May-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,<1,28.50,8.14,,,,,,,,,
18-May-15,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,10,29.10,8.03,,,,,,,,,
18-May-15,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,29.40,8.16,,,,,,,,,
18-May-15,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Routine,<1,30.30,8.28/8/.26,,,,,,,,,
18-May-15,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,10,30.60,8.21,,,,,,,,,
19-May-15,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,20,26.70,8.2,,,,,,,,,
19-May-15,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,26.90,8.16,,,,,,,,,
19-May-15,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,<1,27.80,8.24,,,,,,,,,
19-May-15,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,<1,27.80,8.23,,,,,,,,,
19-May-15,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,28.00,8.25/8.25,,,,,,,,,
19-May-15,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,20,27.60,8.19,,,,,,,,,
19-May-15,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,313,28.90,8.27,,,,,,,,,
19-May-15,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,20,27.10,8.26,,,,,,,,,
19-May-15,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,<1,28.00,8.28,,,,,,,,,
19-May-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,86,26.90,8.15,,,,,,,,,
19-May-15,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.90,8.08,,,,,,,,,
19-May-15,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,<1,27.60,8.04,,,,,,,,,
19-May-15,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.50,8.04/8.04,,,,,,,,,
19-May-15,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,10,27.80,8.06,,,,,,,,,
19-May-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,<1,27.90,7.99,,,,,,,,,
19-May-15,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,10,28.90,8.04,,,,,,,,,
19-May-15,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,51,29.50,7.96,,,,,,,,,
19-May-15,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,<1,29.30,8.0/8.01,,,,,,,,,
19-May-15,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,<1,28.40,8.12,,,,,,,,,
19-May-15,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,<1,28.90,8.04,,,,,,,,,
19-May-15,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,10,28.90,8.03,,,,,,,,,
26-May-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Re-sampling,<1,28.00,Bacteriological Re-sampling,,,,,,,,,
26-May-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,52,29.00,Bacteriological Re-sampling,,,,,,,,,
26-May-15,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Re-sampling,20,27.30,Bacteriological Re-sampling,,,,,,,,,
26-May-15,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Re-sampling,<1,28.30,Bacteriological Re-sampling,,,,,,,,,
1-Jun-15,RW-24A,Balneario Sun Bay,18.0963030,-65.4654220,Vieques,Routine,<1,28.20,8.5/8.5,,,,,,,,,
1-Jun-15,RW-24B,Balneario Sun Bay,18.0967220,-65.4589440,Vieques,Routine,<1,28.00,8.6/8.6,,,,,,,,,
1-Jun-15,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,29.00,8.48,,,,,,,,,
1-Jun-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,31,28.60,8.23,,,,,,,,,
